Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,P/E Ratio,P/B Ratio,Dividend Yield,Dividend Payout Ratio,ROE,ROA,Beta,Market Capitalization,Revenue Growth,Debt-to-Equity Ratio,Free Cash Flow,Current Ratio,Quick Ratio,PEG Ratio,Standard Deviation,Value at Risk (VaR),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Downside Deviation,Tracking Error,R-squared,Treynor Ratio,Information Ratio,Conditional Value at Risk (CVaR),Beta-adjusted Sharpe Ratio,Drawdown Duration,Ulcer Index,Jensens Alpha
2012-01-03 00:00:00-05:00,29.74459650252595,30.61740613666386,29.727316080938017,30.38408088684082,1903100,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-04 00:00:00-05:00,30.254465203284187,30.36680776198871,29.684115492486825,30.306316375732422,1397300,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-05 00:00:00-05:00,29.969289752013427,30.84209632873535,29.95200602915824,30.84209632873535,1699700,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-06 00:00:00-05:00,30.738394373237035,31.092702416836886,30.643335554814414,30.96307945251465,1451600,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-09 00:00:00-05:00,31.014927319630445,31.179121022917798,30.660619276030594,30.96307945251465,2285500,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-10 00:00:00-05:00,31.395158767700195,31.65440796128691,31.239608592241694,31.395158767700195,1557400,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-11 00:00:00-05:00,31.213692838437083,31.360602856606,30.824817256852967,30.919876098632812,1733000,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-12 00:00:00-05:00,31.066782565944624,31.75811502278014,31.023574905492378,31.73219108581543,2457500,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-13 00:00:00-05:00,31.46428546495464,31.61119540632666,30.937143651762284,31.04948616027832,1079400,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-17 00:00:00-05:00,31.576638090137557,31.69762084736268,30.505070404011132,30.522354125976562,2364200,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-18 00:00:00-05:00,30.513715126192523,30.764320863320705,30.375448641505823,30.721113204956055,2003400,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
2012-01-19 00:00:00-05:00,30.876665185294225,31.688980417406682,30.80753358724772,31.585281372070312,1495500,0.0,0.0,0.027629695699973037,21.993547,0.0070999996,0.3035,0.54016,0.120950006,1.289,85884469248,0.232,197.861,1952999936,1.667,1.538,,0.26960926363147436,-0.024662188096615904,0.8427083771791042,1.0835673149219858,-0.4201716427903185,0.017612901297636825,0.1949003807622122,0.4853707605855541,0.0006994532030100026,0.0007405541731981363,-0.03942741639454014,0.9517114916482837,566,0.11972022440690742,0.058228693036841056
