MarketCap,Ticker,Date,Return
9604765892.952026,HBAN,2020-03-31,-0.4457074100232141
10734885622.250854,HBAN,2020-06-30,0.11766239197231343
11055086119.851685,HBAN,2020-09-30,0.029828030671992467
15410995140.831055,HBAN,2020-12-31,0.39401855162009447
19361772743.02295,HBAN,2021-03-31,0.25636096605626757
17760091356.310303,HBAN,2021-06-30,-0.08272390178165967
19433163791.497803,HBAN,2021-09-30,0.0942040444286929
19580213251.758057,HBAN,2021-12-31,0.007566933610912541
18752753494.24463,HBAN,2022-03-31,-0.042259997216278156
15623734285.922363,HBAN,2022-06-30,-0.16685652105876536
17305378856.435303,HBAN,2022-09-30,0.1076339714781358
18724572270.3042,HBAN,2022-12-31,0.0820088034848856
15083475006.746582,HBAN,2023-03-31,-0.1944555641109159
14728643747.47461,HBAN,2023-06-30,-0.023524503412725717
14415193442.746826,HBAN,2023-09-30,-0.021281681470605718
17840702957.652588,HBAN,2023-12-31,0.23763187976012534
19800867801.587402,HBAN,2024-03-31,0.10987038171015695
18945307179.57251,HBAN,2024-06-30,-0.04320823867862522
21356306487.698486,HBAN,2024-09-30,0.12726103014711732
22867228815.638184,HBAN,2024-12-31,0.07074829764266632
