MarketCap,Ticker,Date,Return
62536020998.65723,INTU,2020-03-31,-0.12019398177768448
80706731718.99414,INTU,2020-06-30,0.29056390909052365
89038712513.91602,INTU,2020-09-30,0.1032377425954043
103862676193.11523,INTU,2020-12-31,0.16648897160190135
104908296739.99023,INTU,2021-03-31,0.010067336845151598
134435255791.99219,INTU,2021-06-30,0.28145494655377923
148140087283.44727,INTU,2021-09-30,0.10194373053940686
176841926495.8496,INTU,2021-12-31,0.19374795667215317
132351944101.44043,INTU,2022-03-31,-0.2515805119067923
106238871125.85449,INTU,2022-06-30,-0.19730025994610034
106934066795.89844,INTU,2022-09-30,0.006543703473848028
107661664385.37598,INTU,2022-12-31,0.006804170188965841
123569852059.81445,INTU,2023-03-31,0.14776093018119218
127221628786.01074,INTU,2023-06-30,0.02955232741096614
142113766514.28223,INTU,2023-09-30,0.11705665043261115
174149864171.63086,INTU,2023-12-31,0.22542571661506883
181379974413.81836,INTU,2024-03-31,0.04151659995015544
183648023235.83984,INTU,2024-06-30,0.0125044058990047
173770108201.41602,INTU,2024-09-30,-0.053787211320748374
174092160014.16016,INTU,2024-12-31,0.0018533211268467742
