MarketCap,Ticker,Date,Return
60386067544.518555,MDLZ,2020-03-31,-0.08533375220908412
62005020121.98779,MDLZ,2020-06-30,0.02681003488554201
70056322701.50195,MDLZ,2020-09-30,0.12984920517200282
71686477020.28564,MDLZ,2020-12-31,0.023269196211304077
72137627661.82275,MDLZ,2021-03-31,0.006293385590833811
77342198462.7373,MDLZ,2021-06-30,0.07214779539622929
72497766705.66748,MDLZ,2021-09-30,-0.06263633376550348
83066553525.12793,MDLZ,2021-12-31,0.14578086056593298
79083467322.07324,MDLZ,2022-03-31,-0.04795054127109999
78660341437.72266,MDLZ,2022-06-30,-0.005350370926800352
69925880566.30469,MDLZ,2022-09-30,-0.1110402105021786
85492694604.00049,MDLZ,2022-12-31,0.2226187773629127
89922580316.83398,MDLZ,2023-03-31,0.051815956127627016
94572914870.46289,MDLZ,2023-06-30,0.05171487002757136
90532738554.11523,MDLZ,2023-09-30,-0.042720226207276224
95044795874.79688,MDLZ,2023-12-31,0.049838957627296177
92416855120.08594,MDLZ,2024-03-31,-0.027649496540270713
86951435755.60254,MDLZ,2024-06-30,-0.05913877243909316
98510786030.25195,MDLZ,2024-09-30,0.13294030367870735
93322492440.87402,MDLZ,2024-12-31,-0.05266726414896983
