MarketCap,Ticker,Date,Return
93738407685.45117,NKE,2020-03-31,-0.18103277171696552
111360607487.38672,NKE,2020-06-30,0.18799337685646034
142898352801.3711,NKE,2020-09-30,0.28320378296747806
161354922698.53125,NKE,2020-12-31,0.12915873091143903
151877130616.14648,NKE,2021-03-31,-0.05873878480976169
176919578835.1289,NKE,2021-06-30,0.16488623479643283
166589594719.39062,NKE,2021-09-30,-0.05838802117749087
191526482926.65234,NKE,2021-12-31,0.14969055089704897
154980554993.08594,NKE,2022-03-31,-0.1908139666907691
118001295989.97852,NKE,2022-06-30,-0.23860579802903115
96246977188.66602,NKE,2022-09-30,-0.18435660912707286
135905022462.87695,NKE,2022-12-31,0.4120445798154484
142850346204.5254,NKE,2023-03-31,0.051104246302196676
128981490173.60938,NKE,2023-06-30,-0.09708661126420615
112119020881.98242,NKE,2023-09-30,-0.13073557507305922
127732110542.58789,NKE,2023-12-31,0.13925460227698516
110962075523.33594,NKE,2024-03-31,-0.1312906750543401
89337033900.13281,NKE,2024-06-30,-0.1948867802013604
105249036159.11133,NKE,2024-09-30,0.17811205011312636
91021361473.77734,NKE,2024-12-31,-0.13518104492496397
