MarketCap,Ticker,Date,Return
11517544573.85254,PAYC,2020-03-31,-0.23700722873026847
17659174028.686523,PAYC,2020-06-30,0.5332412143450165
17748684922.058105,PAYC,2020-09-30,0.00506880408031396
25784914401.184082,PAYC,2020-12-31,0.45277886865513817
21098870350.15869,PAYC,2021-03-31,-0.18173587773516908
20723143505.249023,PAYC,2021-06-30,-0.017807912872778164
28265052608.337402,PAYC,2021-09-30,0.36393653796674563
23671945595.52002,PAYC,2021-12-31,-0.16250127238265055
19748761639.465332,PAYC,2022-03-31,-0.16573136923722742
15970967996.032715,PAYC,2022-06-30,-0.19129268520225529
18814289873.779297,PAYC,2022-09-30,0.17803065402503337
17692240637.634277,PAYC,2022-12-31,-0.05963813907793425
17333049736.75537,PAYC,2023-03-31,-0.020302171343682063
18340058285.339355,PAYC,2023-06-30,0.05809759758829891
14821632780.517578,PAYC,2023-09-30,-0.19184374717251196
11842539135.437012,PAYC,2023-12-31,-0.20099631998685474
11424339180.69458,PAYC,2024-03-31,-0.03531336903004456
8229023593.841553,PAYC,2024-06-30,-0.2796936904895674
9604759762.329102,PAYC,2024-09-30,0.1671809726632847
9932279500.0,PAYC,2024-12-31,0.03409973240095665
