MarketCap,Ticker,Date,Return
7353463240.013123,PTC,2020-03-31,-0.18266791850270303
9345301759.986877,PTC,2020-06-30,0.27087080671531316
9937567346.64917,PTC,2020-09-30,0.06337575841565157
14369347423.324585,PTC,2020-12-31,0.4459622684388407
16536582016.75415,PTC,2021-03-31,0.1508234528390393
16970269440.078735,PTC,2021-06-30,0.026225940940225234
14390971759.986877,PTC,2021-09-30,-0.151989200242179
14554355433.311462,PTC,2021-12-31,0.011353206444255637
12940942346.64917,PTC,2022-03-31,-0.11085431395811407
12775155460.05249,PTC,2022-06-30,-0.012811036642907836
12566120816.688538,PTC,2022-09-30,-0.016362590969448254
14421005509.986877,PTC,2022-12-31,0.14760996813232485
15404910536.727905,PTC,2023-03-31,0.06822721384161823
17095210866.622925,PTC,2023-06-30,0.10972477417931503
17020725920.10498,PTC,2023-09-30,-0.004357065092620238
21018820406.570435,PTC,2023-12-31,0.2348956504694597
22698307193.29834,PTC,2024-03-31,0.07990395056626975
21824925230.026245,PTC,2024-06-30,-0.03847784576331581
21703589539.94751,PTC,2024-09-30,-0.005559500836768261
22446022960.05249,PTC,2024-12-31,0.03420786311584356
