MarketCap,Ticker,Date,Return
13033461432.281494,SWKS,2020-03-31,-0.2577226430188989
18717821525.421143,SWKS,2020-06-30,0.4361358740096879
21374219860.351562,SWKS,2020-09-30,0.1419181356827608
22538407077.819824,SWKS,2020-12-31,0.05446688698228419
27121463741.760254,SWKS,2021-03-31,0.20334430237754653
28429830620.422363,SWKS,2021-06-30,0.048241012768331926
24505950957.885742,SWKS,2021-09-30,-0.13801980444153372
23152980773.68164,SWKS,2021-12-31,-0.055209862556618305
19972593518.615723,SWKS,2022-03-31,-0.13736405200496316
13958401217.49878,SWKS,2022-06-30,-0.30112225012296656
12924633948.45581,SWKS,2022-09-30,-0.0740605784956947
13904239712.615967,SWKS,2022-12-31,0.07579369505294165
18100997192.871094,SWKS,2023-03-31,0.3018329349174851
17088504350.43335,SWKS,2023-06-30,-0.055935749376089916
15319329662.780762,SWKS,2023-09-30,-0.10353010722133349
17595308252.044678,SWKS,2023-12-31,0.14856907184349866
17063509732.269287,SWKS,2024-03-31,-0.0302238819665801
16912251593.261719,SWKS,2024-06-30,-0.008864421293206748
15775148783.843994,SWKS,2024-09-30,-0.06723544781410273
14372842498.809814,SWKS,2024-12-31,-0.08889337934297914
