MarketCap,Ticker,Date,Return
17491276950.510498,TEL,2020-03-31,-0.33960992971522896
22788286705.88086,TEL,2020-06-30,0.3028372239692747
27452337693.345703,TEL,2020-09-30,0.20466878654204468
34153681203.588867,TEL,2020-12-31,0.24410830090683078
36557027380.92041,TEL,2021-03-31,0.07036858378472544
38429023138.88379,TEL,2021-06-30,0.05120754864604771
39131310718.49414,TEL,2021-09-30,0.01827492666342989
46148626205.9209,TEL,2021-12-31,0.179327381541305
37590176208.72656,TEL,2022-03-31,-0.18545405791724912
32622456857.145996,TEL,2022-06-30,-0.13215472372346337
31949654930.87256,TEL,2022-09-30,-0.02062388891246425
33383711167.044434,TEL,2022-12-31,0.04488487400801833
38299433623.822266,TEL,2023-03-31,0.14724913093636238
41129461414.01953,TEL,2023-06-30,0.07389215772728774
36415415700.51416,TEL,2023-09-30,-0.11461481749183633
41604284316.700195,TEL,2023-12-31,0.1424909894990647
43186308833.07422,TEL,2024-03-31,0.03802551930304432
44922054146.52832,TEL,2024-06-30,0.04019202752805717
45284622883.33887,TEL,2024-09-30,0.008071063171508408
45524553635.03027,TEL,2024-12-31,0.005298283090697575
