MarketCap,Ticker,Date,Return
107345085754.39453,TMO,2020-03-31,-0.1263595003282314
137238602371.21582,TMO,2020-06-30,0.27848053226411906
167313937225.3418,TMO,2020-09-30,0.21914632133002487
176589655609.13086,TMO,2020-12-31,0.05543900608409169
173125794067.3828,TMO,2021-03-31,-0.019615313987672467
191475556869.50684,TMO,2021-06-30,0.10599092354188455
216953701171.875,TMO,2021-09-30,0.1330621240586436
253476007690.4297,TMO,2021-12-31,0.16834147710446756
224506138458.25195,TMO,2022-03-31,-0.1142903799698417
206621905517.57812,TMO,2022-06-30,-0.07966032939451007
192999440231.32324,TMO,2022-09-30,-0.06592943401683982
209662411651.61133,TMO,2022-12-31,0.08633688989106059
219581404266.35742,TMO,2023-03-31,0.047309350954276574
198905042724.60938,TMO,2023-06-30,-0.09416262552300259
193097796707.15332,TMO,2023-09-30,-0.029196072346422963
202626783599.85352,TMO,2023-12-31,0.04934798353578107
222020355377.19727,TMO,2024-03-31,0.09571080107377172
211388167419.4336,TMO,2024-06-30,-0.04788834762335337
236603027801.51367,TMO,2024-09-30,0.11928226962698951
210612148132.32422,TMO,2024-12-31,-0.10985015665561648
