Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,ADBE,121605250000.0,11171297000,,Adobe Inc.
2019-09-30,2019,3,ANSS,19357932053.375244,1515892000,,Ansys
2019-09-30,2019,3,CDNS,18123300070.830566,2336319000,,Cadence Design Systems
2019-09-30,2019,3,SNPS,21083521500.0,3360694000,,Synopsys
2019-09-30,2019,3,TYL,11234632500.0,1086427000,,Tyler Technologies
2019-12-31,2019,4,ADBE,145182360925.29297,11171297000,,Adobe Inc.
2019-12-31,2019,4,ANSS,22510504820.251465,1515892000,,Ansys
2019-12-31,2019,4,CDNS,19022882402.276855,2336319000,,Cadence Design Systems
2019-12-31,2019,4,SNPS,21383068331.207275,3360694000,,Synopsys
2019-12-31,2019,4,TYL,12840435501.800535,1086427000,,Tyler Technologies
2020-03-31,2020,1,ADBE,140089243701.17188,12868000000,,Adobe Inc.
2020-03-31,2020,1,ADSK,33640954966.5625,3274300000,,Autodesk
2020-03-31,2020,1,ANSS,20329501606.75049,1681297000,,Ansys
2020-03-31,2020,1,CRM,137036522888.1836,17098000000,,Salesforce
2020-03-31,2020,1,FICO,7491605410.443115,1294562000,,Fair Isaac
2020-03-31,2020,1,INTU,62536029552.490234,7679000000,,Intuit
2020-03-31,2020,1,ORCL,124531410014.93848,39068000000,,Oracle Corporation
2020-03-31,2020,1,PTC,7353463240.013123,1458415000,,PTC Inc.
2020-03-31,2020,1,SNPS,19783946028.65601,3685281000,,Synopsys
2020-03-31,2020,1,TYL,12692352711.51123,1116663000,,Tyler Technologies
2020-06-30,2020,2,ADBE,191623460925.29297,12868000000,,Adobe Inc.
2020-06-30,2020,2,ADSK,51547596322.625,3274300000,,Autodesk
2020-06-30,2020,2,ANSS,25511789460.754395,1681297000,,Ansys
2020-06-30,2020,2,CRM,178295954711.91406,17098000000,,Salesforce
2020-06-30,2020,2,FICO,10178396324.050903,1294562000,,Fair Isaac
2020-06-30,2020,2,INTU,80706731718.99414,7679000000,,Intuit
2020-06-30,2020,2,ORCL,143090167240.0459,39068000000,,Oracle Corporation
2020-06-30,2020,2,PTC,9345301759.986876,1458415000,,PTC Inc.
2020-06-30,2020,2,SNPS,29954730000.0,3685281000,,Synopsys
2020-06-30,2020,2,TYL,14845978576.97754,1116663000,,Tyler Technologies
2020-09-30,2020,3,ADBE,215887282775.8789,12868000000,,Adobe Inc.
2020-09-30,2020,3,ADSK,49784731058.09375,3274300000,,Autodesk
2020-09-30,2020,3,ANSS,28616264460.754395,1681297000,,Ansys
2020-09-30,2020,3,CRM,239200037048.33984,17098000000,,Salesforce
2020-09-30,2020,3,FICO,10357109820.88623,1294562000,,Fair Isaac
2020-09-30,2020,3,INTU,89038721067.74902,7679000000,,Intuit
2020-09-30,2020,3,ORCL,155212529236.82227,39068000000,,Oracle Corporation
2020-09-30,2020,3,PTC,9937567346.64917,1458415000,,PTC Inc.
2020-09-30,2020,3,SNPS,32870323063.690186,3685281000,,Synopsys
