Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,AMP,12950615676.846312,12754000000,,Ameriprise Financial
2019-09-30,2019,3,BK,27971446577.51172,16088000000,,BNY Mellon
2019-09-30,2019,3,BLK,58152807011.71875,14539000000,,BlackRock
2019-09-30,2019,3,BX,29313816783.23291,6173924000,,Blackstone Inc.
2019-09-30,2019,3,IVZ,5968734099.121094,6117400000,,Invesco
2019-09-30,2019,3,KKR,22478749228.243164,4220900000,,KKR
2019-09-30,2019,3,NTRS,15781913546.173096,6087600000,,Northern Trust
2019-09-30,2019,3,STT,14744087561.266602,11756000000,,State Street Corporation
2019-09-30,2019,3,TROW,20906894541.184814,5617900000,,T. Rowe Price
2019-12-31,2019,4,AMP,14760514701.589966,12754000000,,Ameriprise Financial
2019-12-31,2019,4,BK,31349187482.942383,16088000000,,BNY Mellon
2019-12-31,2019,4,BLK,66046553917.96875,14539000000,,BlackRock
2019-12-31,2019,4,BX,33887603271.6521,6173924000,,Blackstone Inc.
2019-12-31,2019,4,IVZ,6445072965.85083,6117400000,,Invesco
2019-12-31,2019,4,KKR,24525678537.81958,4220900000,,KKR
2019-12-31,2019,4,NTRS,18083778142.852783,6087600000,,Northern Trust
2019-12-31,2019,4,STT,19832724033.614742,11756000000,,State Street Corporation
2019-12-31,2019,4,TROW,22431813958.81421,5617900000,,T. Rowe Price
2020-03-31,2020,1,AMP,9130243909.13086,11899000000,,Ameriprise Financial
2020-03-31,2020,1,BEN,7117131128.139496,5566500000,,Franklin Resources
2020-03-31,2020,1,BK,21117577473.93506,15472000000,,BNY Mellon
2020-03-31,2020,1,BLK,58243434152.34375,16205000000,,BlackRock
2020-03-31,2020,1,BX,27870386399.81909,5233168000,,Blackstone Inc.
2020-03-31,2020,1,IVZ,3309102596.9696045,6145600000,,Invesco
2020-03-31,2020,1,KKR,19806696034.33008,4230891000,,KKR
2020-03-31,2020,1,NTRS,12971569390.213013,5975800000,,Northern Trust
2020-03-31,2020,1,STT,13491896492.796753,11703000000,,State Street Corporation
2020-03-31,2020,1,TROW,18156363239.67627,6206700000,,T. Rowe Price
2020-06-30,2020,2,AMP,13481867425.12207,11899000000,,Ameriprise Financial
2020-06-30,2020,2,BEN,8942255760.429382,5566500000,,Franklin Resources
2020-06-30,2020,2,BK,24445715629.586426,15472000000,,BNY Mellon
2020-06-30,2020,2,BLK,72507421901.36719,16205000000,,BlackRock
2020-06-30,2020,2,BX,34913628420.28882,5233168000,,Blackstone Inc.
2020-06-30,2020,2,IVZ,4002238648.6816406,6145600000,,Invesco
2020-06-30,2020,2,KKR,26202455397.263428,4230891000,,KKR
2020-06-30,2020,2,NTRS,13748365818.466188,5975800000,,Northern Trust
2020-06-30,2020,2,STT,16232666744.002195,11703000000,,State Street Corporation
2020-06-30,2020,2,TROW,23137545763.585693,6206700000,,T. Rowe Price
2020-09-30,2020,3,AMP,13940606918.051147,11899000000,,Ameriprise Financial
2020-09-30,2020,3,BEN,8909173927.871704,5566500000,,Franklin Resources
2020-09-30,2020,3,BK,21905530079.07373,15472000000,,BNY Mellon
2020-09-30,2020,3,BLK,75551825695.3125,16205000000,,BlackRock
2020-09-30,2020,3,BX,32384571504.67383,5233168000,,Blackstone Inc.
2020-09-30,2020,3,IVZ,4302561107.48291,6145600000,,Invesco
2020-09-30,2020,3,KKR,29246917665.563965,4230891000,,KKR
2020-09-30,2020,3,NTRS,13628612638.793943,5975800000,,Northern Trust
2020-09-30,2020,3,STT,15287479965.267212,11703000000,,State Street Corporation
2020-09-30,2020,3,TROW,24195004471.922607,6206700000,,T. Rowe Price
2020-12-31,2020,4,AMP,17685366629.205322,11899000000,,Ameriprise Financial
2020-12-31,2020,4,BEN,11065485948.783876,5566500000,,Franklin Resources
2020-12-31,2020,4,BK,27302966039.401855,15472000000,,BNY Mellon
2020-12-31,2020,4,BLK,97223872470.70312,16205000000,,BlackRock
2020-12-31,2020,4,BX,40589255551.12378,5233168000,,Blackstone Inc.
2020-12-31,2020,4,IVZ,6641998713.226318,6145600000,,Invesco
2020-12-31,2020,4,KKR,34611974065.05371,4230891000,,KKR
2020-12-31,2020,4,NTRS,16403396964.645386,5975800000,,Northern Trust
2020-12-31,2020,4,STT,18888755064.35742,11703000000,,State Street Corporation
2020-12-31,2020,4,TROW,28737896181.92285,6206700000,,T. Rowe Price
2021-03-31,2021,1,AMP,21257351651.26648,13489000000,,Ameriprise Financial
2021-03-31,2021,1,BEN,13229804490.325928,8425500000,,Franklin Resources
2021-03-31,2021,1,BK,30656682173.04834,15633000000,,BNY Mellon
2021-03-31,2021,1,BLK,102193999031.25,19374000000,,BlackRock
2021-03-31,2021,1,BX,47316574433.8042,16652351000,,Blackstone Inc.
2021-03-31,2021,1,IVZ,9676906417.541504,6894500000,,Invesco
2021-03-31,2021,1,KKR,41878388873.89404,16105827000,,KKR
2021-03-31,2021,1,NTRS,18640206157.24182,6546000000,,Northern Trust
2021-03-31,2021,1,STT,21935454935.960693,12027000000,,State Street Corporation
2021-03-31,2021,1,TROW,32778074152.17871,7671900000,,T. Rowe Price
2021-06-30,2021,2,AMP,22857845336.938477,13489000000,,Ameriprise Financial
2021-06-30,2021,2,BEN,14422122837.57019,8425500000,,Franklin Resources
2021-06-30,2021,2,BK,33426251318.67383,15633000000,,BNY Mellon
2021-06-30,2021,2,BLK,119150541369.14062,19374000000,,BlackRock
2021-06-30,2021,2,BX,62241146469.54932,16652351000,,Blackstone Inc.
2021-06-30,2021,2,IVZ,10318102157.89795,6894500000,,Invesco
2021-06-30,2021,2,KKR,50919533621.13379,16105827000,,KKR
2021-06-30,2021,2,NTRS,20625766110.473633,6546000000,,Northern Trust
2021-06-30,2021,2,STT,21620513078.11523,12027000000,,State Street Corporation
2021-06-30,2021,2,TROW,38616317694.66016,7671900000,,T. Rowe Price
2021-09-30,2021,3,AMP,24362727771.011353,13489000000,,Ameriprise Financial
2021-09-30,2021,3,BEN,13521056660.499573,8425500000,,Franklin Resources
2021-09-30,2021,3,BK,34055982135.40332,15633000000,,BNY Mellon
2021-09-30,2021,3,BLK,114704296458.98438,19374000000,,BlackRock
2021-09-30,2021,3,BX,74993121380.1167,16652351000,,Blackstone Inc.
2021-09-30,2021,3,IVZ,9368795087.280272,6894500000,,Invesco
2021-09-30,2021,3,KKR,52444232302.75195,16105827000,,KKR
2021-09-30,2021,3,NTRS,19350707109.085083,6546000000,,Northern Trust
2021-09-30,2021,3,STT,22409268930.51172,12027000000,,State Street Corporation
2021-09-30,2021,3,TROW,38560754213.51807,7671900000,,T. Rowe Price
2021-12-31,2021,4,AMP,27928365158.111572,13489000000,,Ameriprise Financial
2021-12-31,2021,4,BEN,15367870114.17389,8425500000,,Franklin Resources
2021-12-31,2021,4,BK,38374821778.37109,15633000000,,BNY Mellon
2021-12-31,2021,4,BLK,125799530285.15623,19374000000,,BlackRock
2021-12-31,2021,4,BX,84062634171.5122,16652351000,,Blackstone Inc.
2021-12-31,2021,4,IVZ,9004086281.738281,6894500000,,Invesco
2021-12-31,2021,4,KKR,64296368498.5166,16105827000,,KKR
2021-12-31,2021,4,NTRS,21595581308.654785,6546000000,,Northern Trust
2021-12-31,2021,4,STT,24750717329.255615,12027000000,,State Street Corporation
2021-12-31,2021,4,TROW,38769340152.242676,7671900000,,T. Rowe Price
2022-03-31,2022,1,AMP,27906814582.141113,14271000000,,Ameriprise Financial
2022-03-31,2022,1,BEN,12941415929.763794,8275300000,,Franklin Resources
2022-03-31,2022,1,BK,32983837170.9834,16034000000,,BNY Mellon
2022-03-31,2022,1,BLK,105697482996.09377,17873000000,,BlackRock
2022-03-31,2022,1,BX,83372475488.68652,7132632000,,Blackstone Inc.
2022-03-31,2022,1,IVZ,9087429606.628418,6048900000,,Invesco
2022-03-31,2022,1,KKR,50579769361.13623,5565056000,,KKR
2022-03-31,2022,1,NTRS,21162166956.78711,6749200000,,Northern Trust
2022-03-31,2022,1,STT,23330207993.0813,12148000000,,State Street Corporation
2022-03-31,2022,1,TROW,30073175685.847656,6488400000,,T. Rowe Price
2022-06-30,2022,2,AMP,22185583720.230103,14271000000,,Ameriprise Financial
2022-06-30,2022,2,BEN,10933064729.71344,8275300000,,Franklin Resources
2022-06-30,2022,2,BK,27939836057.53662,16034000000,,BNY Mellon
2022-06-30,2022,2,BLK,84843521560.54688,17873000000,,BlackRock
2022-06-30,2022,2,BX,60658024654.850586,7132632000,,Blackstone Inc.
2022-06-30,2022,2,IVZ,6421874370.269775,6048900000,,Invesco
2022-06-30,2022,2,KKR,40172313170.708496,5565056000,,KKR
2022-06-30,2022,2,NTRS,17646073443.19153,6749200000,,Northern Trust
2022-06-30,2022,2,STT,16657667714.0354,12148000000,,State Street Corporation
2022-06-30,2022,2,TROW,22852292661.70752,6488400000,,T. Rowe Price
2022-09-30,2022,3,AMP,23626767755.895996,14271000000,,Ameriprise Financial
2022-09-30,2022,3,BEN,10222169398.68164,8275300000,,Franklin Resources
2022-09-30,2022,3,BK,26024444346.868652,16034000000,,BNY Mellon
2022-09-30,2022,3,BLK,77230570517.57812,17873000000,,BlackRock
2022-09-30,2022,3,BX,56349709449.13135,7132632000,,Blackstone Inc.
2022-09-30,2022,3,IVZ,5510779146.42334,6048900000,,Invesco
2022-09-30,2022,3,KKR,37419485704.10449,5565056000,,KKR
2022-09-30,2022,3,NTRS,15771378980.529783,6749200000,,Northern Trust
2022-09-30,2022,3,STT,16600145506.586426,12148000000,,State Street Corporation
2022-09-30,2022,3,TROW,21342875153.617676,6488400000,,T. Rowe Price
2022-12-31,2022,4,AMP,29317931730.285645,14271000000,,Ameriprise Financial
2022-12-31,2022,4,BEN,12676075081.718445,8275300000,,Franklin Resources
2022-12-31,2022,4,BK,31029690191.77002,16034000000,,BNY Mellon
2022-12-31,2022,4,BLK,100140260003.90623,17873000000,,BlackRock
2022-12-31,2022,4,BX,50432966628.70459,7132632000,,Blackstone Inc.
2022-12-31,2022,4,IVZ,7319768974.304199,6048900000,,Invesco
2022-12-31,2022,4,KKR,40520012887.16992,5565056000,,KKR
2022-12-31,2022,4,NTRS,16452134831.64978,6749200000,,Northern Trust
2022-12-31,2022,4,STT,21347025946.933594,12148000000,,State Street Corporation
2022-12-31,2022,4,TROW,22392630365.46899,6488400000,,T. Rowe Price
2023-03-31,2023,1,AMP,28962023035.528564,16096000000,26.2,Ameriprise Financial
2023-03-31,2023,1,BEN,13093222197.784424,7849400000,,Franklin Resources
2023-03-31,2023,1,BK,31211212846.92578,17383000000,8.05,BNY Mellon
2023-03-31,2023,1,BLK,95241846779.29688,17859000000,22.84,BlackRock
2023-03-31,2023,1,BX,60260182665.33496,7683902000,24.46,Blackstone Inc.
2023-03-31,2023,1,IVZ,6739515195.3125,5716400000,-6.56,Invesco
2023-03-31,2023,1,KKR,45965660589.81641,18663644000,342.17,KKR
2023-03-31,2023,1,NTRS,16518646564.575195,6773500000,11.27,Northern Trust
2023-03-31,2023,1,STT,21006108626.69409,11945000000,1.61,State Street Corporation
2023-03-31,2023,1,TROW,23449343300.7688,6460500000,15.0,T. Rowe Price
2023-06-30,2023,2,AMP,31537676583.050537,16096000000,26.2,Ameriprise Financial
2023-06-30,2023,2,BEN,13129067758.209229,7849400000,,Franklin Resources
2023-06-30,2023,2,BK,30852461042.354492,17383000000,8.05,BNY Mellon
2023-06-30,2023,2,BLK,99099602941.40623,17859000000,22.84,BlackRock
2023-06-30,2023,2,BX,64385347556.62402,7683902000,24.46,Blackstone Inc.
2023-06-30,2023,2,IVZ,6992400632.324219,5716400000,-6.56,Invesco
2023-06-30,2023,2,KKR,49173739975.73242,18663644000,342.17,KKR
2023-06-30,2023,2,NTRS,14035339726.8219,6773500000,11.27,Northern Trust
2023-06-30,2023,2,STT,20485966431.003902,11945000000,1.61,State Street Corporation
2023-06-30,2023,2,TROW,23523166356.749023,6460500000,15.0,T. Rowe Price
2023-09-30,2023,3,AMP,31422551683.117676,16096000000,26.2,Ameriprise Financial
2023-09-30,2023,3,BEN,12233299308.86078,7849400000,,Franklin Resources
