Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,GPC,12051755084.564207,17522234000,,Genuine Parts Company
2019-09-30,2019,3,LKQ,7592923627.624512,12506109000,,LKQ Corporation
2019-09-30,2019,3,POOL,7274761523.788452,3199517000,,Pool Corporation
2019-12-31,2019,4,GPC,12950508814.02588,17522234000,,Genuine Parts Company
2019-12-31,2019,4,LKQ,8618994307.70874,12506109000,,LKQ Corporation
2019-12-31,2019,4,POOL,7680632466.682434,3199517000,,Pool Corporation
2020-03-31,2020,1,GPC,8281509427.383423,16537433000,,Genuine Parts Company
2020-03-31,2020,1,LKQ,4951696350.55542,11628830000,,LKQ Corporation
2020-03-31,2020,1,POOL,7134208305.4122925,3936623000,,Pool Corporation
2020-06-30,2020,2,GPC,10791616164.82544,16537433000,,Genuine Parts Company
2020-06-30,2020,2,LKQ,6325424756.393433,11628830000,,LKQ Corporation
2020-06-30,2020,2,POOL,9883574752.243042,3936623000,,Pool Corporation
2020-09-30,2020,3,GPC,11905188745.788574,16537433000,,Genuine Parts Company
2020-09-30,2020,3,LKQ,6694808951.721191,11628830000,,LKQ Corporation
2020-09-30,2020,3,POOL,12184232268.722534,3936623000,,Pool Corporation
2020-12-31,2020,4,GPC,12666365020.93506,16537433000,,Genuine Parts Company
2020-12-31,2020,4,LKQ,8507937329.864502,11628830000,,LKQ Corporation
2020-12-31,2020,4,POOL,13591227768.218994,3936623000,,Pool Corporation
2021-03-31,2021,1,GPC,14686903739.135742,18870510000,,Genuine Parts Company
2021-03-31,2021,1,LKQ,10219665599.975586,13088504000,,LKQ Corporation
2021-03-31,2021,1,POOL,12618351592.788696,5295584000,,Pool Corporation
2021-06-30,2021,2,GPC,16170059067.504885,18870510000,,Genuine Parts Company
2021-06-30,2021,2,LKQ,11883106546.020508,13088504000,,LKQ Corporation
2021-06-30,2021,2,POOL,16794687218.215942,5295584000,,Pool Corporation
2021-09-30,2021,3,GPC,15603514310.821531,18870510000,,Genuine Parts Company
2021-09-30,2021,3,LKQ,12148676415.863035,13088504000,,LKQ Corporation
2021-09-30,2021,3,POOL,15933054395.401,5295584000,,Pool Corporation
2021-12-31,2021,4,GPC,18162264872.802734,18870510000,,Genuine Parts Company
2021-12-31,2021,4,LKQ,14556202088.47046,13088504000,,LKQ Corporation
2021-12-31,2021,4,POOL,20791393869.018555,5295584000,,Pool Corporation
2022-03-31,2022,1,GPC,16443118974.151611,22095973000,,Genuine Parts Company
2022-03-31,2022,1,LKQ,11071467364.196775,12794000000,,LKQ Corporation
2022-03-31,2022,1,POOL,15561419814.575195,6179727000,,Pool Corporation
2022-06-30,2022,2,GPC,17468982573.33374,22095973000,,Genuine Parts Company
2022-06-30,2022,2,LKQ,12025992122.49756,12794000000,,LKQ Corporation
2022-06-30,2022,2,POOL,12957807163.787842,6179727000,,Pool Corporation
2022-09-30,2022,3,GPC,19725711284.79004,22095973000,,Genuine Parts Company
2022-09-30,2022,3,LKQ,11603943873.291016,12794000000,,LKQ Corporation
2022-09-30,2022,3,POOL,11771434384.002686,6179727000,,Pool Corporation
2022-12-31,2022,4,GPC,23033745935.97412,22095973000,,Genuine Parts Company
2022-12-31,2022,4,LKQ,13211052087.097168,12794000000,,LKQ Corporation
2022-12-31,2022,4,POOL,11220446071.273804,6179727000,,Pool Corporation
2023-03-31,2023,1,GPC,22335273335.388184,23090610000,31.78,Genuine Parts Company
2023-03-31,2023,1,LKQ,14110866483.154297,13866000000,10.87,LKQ Corporation
2023-03-31,2023,1,POOL,12745866784.103394,5541595000,73.2,Pool Corporation
2023-06-30,2023,2,GPC,22736618434.387207,23090610000,31.78,Genuine Parts Company
2023-06-30,2023,2,LKQ,14557931558.685305,13866000000,10.87,LKQ Corporation
2023-06-30,2023,2,POOL,13989349525.20752,5541595000,73.2,Pool Corporation
2023-09-30,2023,3,GPC,19520116806.57959,23090610000,31.78,Genuine Parts Company
2023-09-30,2023,3,LKQ,12433995367.889404,13866000000,10.87,LKQ Corporation
2023-09-30,2023,3,POOL,13335024410.27832,5541595000,73.2,Pool Corporation
2023-12-31,2023,4,GPC,18858982975.524902,23090610000,31.78,Genuine Parts Company
2023-12-31,2023,4,LKQ,12080137233.581545,13866000000,10.87,LKQ Corporation
2023-12-31,2023,4,POOL,14980593797.195436,5541595000,73.2,Pool Corporation
