Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,CBOE,11270520701.47705,2496100000,,Cboe Global Markets
2019-09-30,2019,3,CME,63014251395.77832,4868000000,,CME Group
2019-09-30,2019,3,ICE,49615015480.12109,6547000000,,Intercontinental Exchange
2019-09-30,2019,3,MCO,35563391322.59033,4829000000,,Moody's Corporation
2019-09-30,2019,3,MKTX,11833070513.928225,511352000,,MarketAxess
2019-09-30,2019,3,MSCI,16281933315.066406,1557796000,,MSCI
2019-09-30,2019,3,NDAQ,17680570747.833984,4262000000,,"Nasdaq, Inc."
2019-09-30,2019,3,SPGI,72824885403.44238,6699000000,,S&P Global
2019-12-31,2019,4,CBOE,11804091678.512571,2496100000,,Cboe Global Markets
2019-12-31,2019,4,CME,60814063240.44287,4868000000,,CME Group
2019-12-31,2019,4,ICE,49916884214.28125,6547000000,,Intercontinental Exchange
2019-12-31,2019,4,MCO,41312337777.07764,4829000000,,Moody's Corporation
2019-12-31,2019,4,MKTX,13717335476.940918,511352000,,MarketAxess
2019-12-31,2019,4,MSCI,19357842851.46924,1557796000,,MSCI
2019-12-31,2019,4,NDAQ,19146404962.688965,4262000000,,"Nasdaq, Inc."
2019-12-31,2019,4,SPGI,81344025692.74902,6699000000,,S&P Global
2020-03-31,2020,1,CBOE,8805441429.016113,3427100000,,Cboe Global Markets
2020-03-31,2020,1,CME,52594929486.1543,4883600000,,CME Group
2020-03-31,2020,1,FDS,9506832261.499023,1494111000,,FactSet
2020-03-31,2020,1,ICE,43710307965.89258,8244000000,,Intercontinental Exchange
2020-03-31,2020,1,MCO,36879647333.89453,5371000000,,Moody's Corporation
2020-03-31,2020,1,MKTX,12054573508.105469,689125000,,MarketAxess
2020-03-31,2020,1,MSCI,21710118985.84082,1695390000,,MSCI
2020-03-31,2020,1,NDAQ,17055038172.299805,5627000000,,"Nasdaq, Inc."
2020-03-31,2020,1,SPGI,73171113082.88574,7442000000,,S&P Global
2020-06-30,2020,2,CBOE,9235429398.040771,3427100000,,Cboe Global Markets
2020-06-30,2020,2,CME,49660771587.38232,4883600000,,CME Group
2020-06-30,2020,2,FDS,12009835436.132812,1494111000,,FactSet
2020-06-30,2020,2,ICE,49743481631.59375,8244000000,,Intercontinental Exchange
2020-06-30,2020,2,MCO,48008645986.19824,5371000000,,Moody's Corporation
2020-06-30,2020,2,MKTX,18178306340.759277,689125000,,MarketAxess
2020-06-30,2020,2,MSCI,25131456084.28711,1695390000,,MSCI
2020-06-30,2020,2,NDAQ,21547330372.626953,5627000000,,"Nasdaq, Inc."
2020-06-30,2020,2,SPGI,98593440573.12012,7442000000,,S&P Global
2020-09-30,2020,3,CBOE,8727103439.682007,3427100000,,Cboe Global Markets
2020-09-30,2020,3,CME,51379658101.95166,4883600000,,CME Group
2020-09-30,2020,3,FDS,12270902937.451172,1494111000,,FactSet
2020-09-30,2020,3,ICE,54495003270.60156,8244000000,,Intercontinental Exchange
2020-09-30,2020,3,MCO,50750401016.31445,5371000000,,Moody's Corporation
2020-09-30,2020,3,MKTX,17497338503.930664,689125000,,MarketAxess
2020-09-30,2020,3,MSCI,26919174514.07324,1695390000,,MSCI
2020-09-30,2020,3,NDAQ,22215950505.11621,5627000000,,"Nasdaq, Inc."
2020-09-30,2020,3,SPGI,108106974560.54688,7442000000,,S&P Global
2020-12-31,2020,4,CBOE,9304795693.66455,3427100000,,Cboe Global Markets
2020-12-31,2020,4,CME,56956105977.3667,4883600000,,CME Group
2020-12-31,2020,4,FDS,12212872865.917969,1494111000,,FactSet
2020-12-31,2020,4,ICE,62971276693.2832,8244000000,,Intercontinental Exchange
2020-12-31,2020,4,MCO,50922705423.76172,5371000000,,Moody's Corporation
2020-12-31,2020,4,MKTX,20751338225.78125,689125000,,MarketAxess
2020-12-31,2020,4,MSCI,33757165758.15918,1695390000,,MSCI
2020-12-31,2020,4,NDAQ,24123201963.33838,5627000000,,"Nasdaq, Inc."
2020-12-31,2020,4,SPGI,98748685269.16504,7442000000,,S&P Global
2021-03-31,2021,1,CBOE,9902798654.586792,3494800000,,Cboe Global Markets
2021-03-31,2021,1,CME,64165150177.03516,4689700000,,CME Group
2021-03-31,2021,1,FDS,11363723252.001951,1591445000,,FactSet
2021-03-31,2021,1,ICE,61174042856.46484,9168000000,,Intercontinental Exchange
2021-03-31,2021,1,MCO,52509173615.92383,6218000000,,Moody's Corporation
2021-03-31,2021,1,MKTX,18130414112.46338,698951000,,MarketAxess
2021-03-31,2021,1,MSCI,31753476624.36914,2043544000,,MSCI
2021-03-31,2021,1,NDAQ,26889457323.288574,5886000000,,"Nasdaq, Inc."
2021-03-31,2021,1,SPGI,106245666979.98048,8297000000,,S&P Global
2021-06-30,2021,2,CBOE,11991362306.808472,3494800000,,Cboe Global Markets
2021-06-30,2021,2,CME,67097444036.13867,4689700000,,CME Group
2021-06-30,2021,2,FDS,12389372160.302734,1591445000,,FactSet
2021-06-30,2021,2,ICE,65208360128.99219,9168000000,,Intercontinental Exchange
2021-06-30,2021,2,MCO,63843312628.265625,6218000000,,Moody's Corporation
2021-06-30,2021,2,MKTX,16905750622.644045,698951000,,MarketAxess
2021-06-30,2021,2,MSCI,40440468882.390625,2043544000,,MSCI
2021-06-30,2021,2,NDAQ,32159965352.316895,5886000000,,"Nasdaq, Inc."
2021-06-30,2021,2,SPGI,123833980065.91795,8297000000,,S&P Global
2021-09-30,2021,3,CBOE,12523790357.315063,3494800000,,Cboe Global Markets
2021-09-30,2021,3,CME,61293286394.49902,4689700000,,CME Group
2021-09-30,2021,3,FDS,14605493697.41211,1591445000,,FactSet
2021-09-30,2021,3,ICE,63251895025.04297,9168000000,,Intercontinental Exchange
2021-09-30,2021,3,MCO,62668126218.57129,6218000000,,Moody's Corporation
2021-09-30,2021,3,MKTX,15362436165.393066,698951000,,MarketAxess
2021-09-30,2021,3,MSCI,46226761724.14844,2043544000,,MSCI
2021-09-30,2021,3,NDAQ,35406461045.956055,5886000000,,"Nasdaq, Inc."
2021-09-30,2021,3,SPGI,128416520541.38184,8297000000,,S&P Global
2021-12-31,2021,4,CBOE,13234354409.484863,3494800000,,Cboe Global Markets
2021-12-31,2021,4,CME,73740930902.29834,4689700000,,CME Group
2021-12-31,2021,4,FDS,18012904028.95508,1591445000,,FactSet
