Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,GOOG,336471003456.6211,161857000000,,Alphabet Inc. (Class C)
2019-09-30,2019,3,GOOGL,355874828138.31836,161857000000,,Alphabet Inc. (Class A)
2019-09-30,2019,3,META,387049027404.7851,70697000000,,Meta Platforms
2019-09-30,2019,3,MTCH,18424020001.146484,4757055000,,Match Group
2019-12-31,2019,4,GOOG,369047113577.46875,161857000000,,Alphabet Inc. (Class C)
2019-12-31,2019,4,GOOGL,390336254530.4883,161857000000,,Alphabet Inc. (Class A)
2019-12-31,2019,4,META,446101859741.21094,70697000000,,Meta Platforms
2019-12-31,2019,4,MTCH,21175759264.28662,4757055000,,Match Group
2020-03-31,2020,1,GOOG,320961304382.6758,182527000000,,Alphabet Inc. (Class C)
2020-03-31,2020,1,GOOGL,338625180202.78906,182527000000,,Alphabet Inc. (Class A)
2020-03-31,2020,1,META,362532476501.4648,85965000000,,Meta Platforms
2020-03-31,2020,1,MTCH,17031386564.429932,2391269000,,Match Group
2020-06-30,2020,2,GOOG,390187667914.71094,182527000000,,Alphabet Inc. (Class C)
2020-06-30,2020,2,GOOGL,413259971855.832,182527000000,,Alphabet Inc. (Class A)
2020-06-30,2020,2,META,493526672668.45703,85965000000,,Meta Platforms
2020-06-30,2020,2,MTCH,27607661393.433105,2391269000,,Match Group
2020-09-30,2020,3,GOOG,405642184049.7578,182527000000,,Alphabet Inc. (Class C)
2020-09-30,2020,3,GOOGL,427117437258.9375,182527000000,,Alphabet Inc. (Class A)
2020-09-30,2020,3,META,569228150634.7656,85965000000,,Meta Platforms
2020-09-30,2020,3,MTCH,28536083028.716553,2391269000,,Match Group
2020-12-31,2020,4,GOOG,483557707183.71094,182527000000,,Alphabet Inc. (Class C)
2020-12-31,2020,4,GOOGL,510769043221.40234,182527000000,,Alphabet Inc. (Class A)
2020-12-31,2020,4,META,593701258544.9219,85965000000,,Meta Platforms
2020-12-31,2020,4,MTCH,38991146889.14648,2391269000,,Match Group
2021-03-31,2021,1,GOOG,570987706291.5156,257637000000,,Alphabet Inc. (Class C)
2021-03-31,2021,1,GOOGL,601076806336.668,257637000000,,Alphabet Inc. (Class A)
2021-03-31,2021,1,META,640148005371.0938,117929000000,,Meta Platforms
2021-03-31,2021,1,MTCH,35429617458.29297,2983277000,,Match Group
2021-06-30,2021,2,GOOG,691799836862.9688,257637000000,,Alphabet Inc. (Class C)
2021-06-30,2021,2,GOOGL,711606871178.4844,257637000000,,Alphabet Inc. (Class A)
2021-06-30,2021,2,META,755732313232.4219,117929000000,,Meta Platforms
2021-06-30,2021,2,MTCH,41585570040.0,2983277000,,Match Group
2021-09-30,2021,3,GOOG,735684586230.0625,257637000000,,Alphabet Inc. (Class C)
2021-09-30,2021,3,GOOGL,779139541856.7109,257637000000,,Alphabet Inc. (Class A)
2021-09-30,2021,3,META,737649250488.2812,117929000000,,Meta Platforms
2021-09-30,2021,3,MTCH,40486938722.57959,2983277000,,Match Group
2021-12-31,2021,4,GOOG,798694973795.875,257637000000,,Alphabet Inc. (Class C)
2021-12-31,2021,4,GOOGL,844279681714.5078,257637000000,,Alphabet Inc. (Class A)
2021-12-31,2021,4,META,731041990356.4453,117929000000,,Meta Platforms
2021-12-31,2021,4,MTCH,34106614808.0,2983277000,,Match Group
2022-03-31,2022,1,GOOG,770927104714.8906,282836000000,,Alphabet Inc. (Class C)
2022-03-31,2022,1,GOOGL,810564299658.9375,282836000000,,Alphabet Inc. (Class A)
2022-03-31,2022,1,META,483289660644.53125,116609000000,,Meta Platforms
2022-03-31,2022,1,MTCH,28043502618.996822,3188843000,,Match Group
2022-06-30,2022,2,GOOG,603784611499.5625,282836000000,,Alphabet Inc. (Class C)
2022-06-30,2022,2,GOOGL,635098175564.8008,282836000000,,Alphabet Inc. (Class A)
2022-06-30,2022,2,META,350469761047.3633,116609000000,,Meta Platforms
2022-06-30,2022,2,MTCH,17972703737.146484,3188843000,,Match Group
2022-09-30,2022,3,GOOG,530790587426.58594,282836000000,,Alphabet Inc. (Class C)
2022-09-30,2022,3,GOOGL,557502476568.8672,282836000000,,Alphabet Inc. (Class A)
2022-09-30,2022,3,META,294894497070.3125,116609000000,,Meta Platforms
2022-09-30,2022,3,MTCH,12314486632.0,3188843000,,Match Group
2022-12-31,2022,4,GOOG,489828929420.4375,282836000000,,Alphabet Inc. (Class C)
2022-12-31,2022,4,GOOGL,514254506371.33594,282836000000,,Alphabet Inc. (Class A)
2022-12-31,2022,4,META,261553679656.9824,116609000000,,Meta Platforms
2022-12-31,2022,4,MTCH,10700064314.788208,3188843000,,Match Group
2023-03-31,2023,1,GOOG,574126082889.9844,307394000000,89.92,Alphabet Inc. (Class C)
2023-03-31,2023,1,GOOGL,604597308227.5156,307394000000,89.92,Alphabet Inc. (Class A)
2023-03-31,2023,1,META,460642256164.5508,134902000000,90.82,Meta Platforms
2023-03-31,2023,1,MTCH,9900589199.71338,3364504000,-29.27,Match Group
2023-06-30,2023,2,GOOG,667807966984.3125,307394000000,89.92,Alphabet Inc. (Class C)
2023-06-30,2023,2,GOOGL,697679506607.7539,307394000000,89.92,Alphabet Inc. (Class A)
2023-06-30,2023,2,META,623738395996.0938,134902000000,90.82,Meta Platforms
2023-06-30,2023,2,MTCH,10792905691.283447,3364504000,-29.27,Match Group
2023-09-30,2023,3,GOOG,727870394978.7656,307394000000,89.92,Alphabet Inc. (Class C)
2023-09-30,2023,3,GOOGL,762726343558.7656,307394000000,89.92,Alphabet Inc. (Class A)
2023-09-30,2023,3,META,652493200073.2422,134902000000,90.82,Meta Platforms
2023-09-30,2023,3,MTCH,10103036741.641724,3364504000,-29.27,Match Group
2023-12-31,2023,4,GOOG,777996009633.0312,307394000000,89.92,Alphabet Inc. (Class C)
2023-12-31,2023,4,GOOGL,814192547907.0234,307394000000,89.92,Alphabet Inc. (Class A)
2023-12-31,2023,4,META,769316531372.0703,134902000000,90.82,Meta Platforms
2023-12-31,2023,4,MTCH,9413167792.0,3364504000,-29.27,Match Group
