Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,GS,57519263654.26172,33294000000,,Goldman Sachs
2019-09-30,2019,3,MS,58049567232.666016,41377000000,,Morgan Stanley
2019-09-30,2019,3,SCHW,69050183308.31543,10721000000,,Charles Schwab Corporation
2019-12-31,2019,4,GS,64179763992.83203,33294000000,,Goldman Sachs
2019-12-31,2019,4,MS,70068889021.60645,41377000000,,Morgan Stanley
2019-12-31,2019,4,SCHW,78819915662.17676,10721000000,,Charles Schwab Corporation
2020-03-31,2020,1,GS,43414134571.828125,40419000000,,Goldman Sachs
2020-03-31,2020,1,MS,46908787817.99317,47996000000,,Morgan Stanley
2020-03-31,2020,1,RJF,7995438833.618164,7889000000,,Raymond James Financial
2020-03-31,2020,1,SCHW,55928164094.86035,11691000000,,Charles Schwab Corporation
2020-06-30,2020,2,GS,55845356312.32031,40419000000,,Goldman Sachs
2020-06-30,2020,2,MS,67224390375.97656,47996000000,,Morgan Stanley
2020-06-30,2020,2,RJF,8755052954.101562,7889000000,,Raymond James Financial
2020-06-30,2020,2,SCHW,56421592326.84668,11691000000,,Charles Schwab Corporation
2020-09-30,2020,3,GS,57135861961.74609,40419000000,,Goldman Sachs
2020-09-30,2020,3,MS,67762778281.86035,47996000000,,Morgan Stanley
2020-09-30,2020,3,RJF,9302548546.218872,7889000000,,Raymond James Financial
2020-09-30,2020,3,SCHW,60906030923.25879,11691000000,,Charles Schwab Corporation
2020-12-31,2020,4,GS,75381527190.1289,40419000000,,Goldman Sachs
2020-12-31,2020,4,MS,96757048845.8252,47996000000,,Morgan Stanley
2020-12-31,2020,4,RJF,12231648606.87256,7889000000,,Raymond James Financial
2020-12-31,2020,4,SCHW,89513734641.08301,11691000000,,Charles Schwab Corporation
2021-03-31,2021,1,GS,93840136412.3672,59339000000,,Goldman Sachs
2021-03-31,2021,1,MS,110211448959.96094,59751000000,,Morgan Stanley
2021-03-31,2021,1,RJF,15783878398.895264,9630000000,,Raymond James Financial
2021-03-31,2021,1,SCHW,110358630056.94044,18520000000,,Charles Schwab Corporation
2021-06-30,2021,2,GS,109282664135.20312,59339000000,,Goldman Sachs
2021-06-30,2021,2,MS,130674995266.11328,59751000000,,Morgan Stanley
2021-06-30,2021,2,RJF,16779372448.730469,9630000000,,Raymond James Financial
2021-06-30,2021,2,SCHW,123599094585.10156,18520000000,,Charles Schwab Corporation
2021-09-30,2021,3,GS,109379659341.2578,59339000000,,Goldman Sachs
2021-09-30,2021,3,MS,139702409331.0547,59751000000,,Morgan Stanley
2021-09-30,2021,3,RJF,17929731675.720215,9630000000,,Raymond James Financial
2021-09-30,2021,3,SCHW,123948273029.33788,18520000000,,Charles Schwab Corporation
2021-12-31,2021,4,GS,111271607116.52344,59339000000,,Goldman Sachs
2021-12-31,2021,4,MS,141897800402.83203,59751000000,,Morgan Stanley
2021-12-31,2021,4,RJF,19507419213.867188,9630000000,,Raymond James Financial
2021-12-31,2021,4,SCHW,143428498107.54688,18520000000,,Charles Schwab Corporation
2022-03-31,2022,1,GS,96581551437.65623,47365000000,,Goldman Sachs
2022-03-31,2022,1,MS,127223818475.3418,53388000000,,Morgan Stanley
2022-03-31,2022,1,RJF,21427752063.75122,10851000000,,Raymond James Financial
2022-03-31,2022,1,SCHW,144091552901.8789,20762000000,,Charles Schwab Corporation
2022-06-30,2022,2,GS,87435119051.60156,47365000000,,Goldman Sachs
2022-06-30,2022,2,MS,111667582213.13477,53388000000,,Morgan Stanley
2022-06-30,2022,2,RJF,17551350035.858154,10851000000,,Raymond James Financial
2022-06-30,2022,2,SCHW,108311577028.41795,20762000000,,Charles Schwab Corporation
2022-09-30,2022,3,GS,86917744227.5625,47365000000,,Goldman Sachs
2022-09-30,2022,3,MS,117098475340.57616,53388000000,,Morgan Stanley
2022-09-30,2022,3,RJF,19465892794.036865,10851000000,,Raymond James Financial
