Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,APA,8506796280.79126,6315000000,,APA Corporation
2019-09-30,2019,3,COP,54071891520.16211,32567000000,,ConocoPhillips
2019-09-30,2019,3,CTRA,10054262672.780272,2066277000,,Coterra
2019-09-30,2019,3,DVN,11833922217.105469,6220000000,,Devon Energy
2019-09-30,2019,3,EOG,32786001799.99585,16941727000,,EOG Resources
2019-09-30,2019,3,EQT,5984200660.545898,3799850000,,EQT Corporation
2019-09-30,2019,3,FANG,21045522287.07422,3964000000,,Diamondback Energy
2019-09-30,2019,3,MRO,6397182034.657166,5063000000,,Marathon Oil
2019-09-30,2019,3,OXY,38179270828.73535,20393000000,,Occidental Petroleum
2019-12-31,2019,4,APA,8599277387.8479,6315000000,,APA Corporation
2019-12-31,2019,4,COP,62177793372.87695,32567000000,,ConocoPhillips
2019-12-31,2019,4,CTRA,10016121740.899658,2066277000,,Coterra
2019-12-31,2019,4,DVN,12822636305.637451,6220000000,,Devon Energy
2019-12-31,2019,4,EOG,37154719365.04248,16941727000,,EOG Resources
2019-12-31,2019,4,EQT,6147555615.328613,3799850000,,EQT Corporation
2019-12-31,2019,4,FANG,21789228532.757812,3964000000,,Diamondback Energy
2019-12-31,2019,4,MRO,7110354861.56842,5063000000,,Marathon Oil
2019-12-31,2019,4,OXY,36111740759.15527,20393000000,,Occidental Petroleum
2020-03-31,2020,1,APA,1415481366.46344,4435000000,,APA Corporation
2020-03-31,2020,1,COP,29657553851.25586,18784000000,,ConocoPhillips
2020-03-31,2020,1,CTRA,9954065277.19336,1466624000,,Coterra
2020-03-31,2020,1,DVN,3448705098.23822,4828000000,,Devon Energy
2020-03-31,2020,1,EOG,15986671638.332886,9873240000,,EOG Resources
2020-03-31,2020,1,EQT,4010236674.454712,2658629000,,EQT Corporation
2020-03-31,2020,1,FANG,6185136708.333984,2813000000,,Diamondback Energy
2020-03-31,2020,1,MRO,1730744792.5838318,3097000000,,Marathon Oil
2020-03-31,2020,1,OXY,10454884468.460085,17809000000,,Occidental Petroleum
2020-06-30,2020,2,APA,4585046677.36499,4435000000,,APA Corporation
2020-06-30,2020,2,COP,40865991844.259766,18784000000,,ConocoPhillips
2020-06-30,2020,2,CTRA,10000911451.4187,1466624000,,Coterra
2020-06-30,2020,2,DVN,5711163031.934692,4828000000,,Devon Energy
2020-06-30,2020,2,EOG,22748918085.12378,9873240000,,EOG Resources
2020-06-30,2020,2,EQT,6749902186.622314,2658629000,,EQT Corporation
2020-06-30,2020,2,FANG,9964033016.332031,2813000000,,Diamondback Energy
2020-06-30,2020,2,MRO,3219500817.774994,3097000000,,Marathon Oil
2020-06-30,2020,2,OXY,16531466503.555298,17809000000,,Occidental Petroleum
2020-09-30,2020,3,APA,3222248332.4432373,4435000000,,APA Corporation
2020-09-30,2020,3,COP,32263922957.58496,18784000000,,ConocoPhillips
2020-09-30,2020,3,CTRA,10157175187.933228,1466624000,,Coterra
2020-09-30,2020,3,DVN,4926554928.256714,4828000000,,Devon Energy
2020-09-30,2020,3,EOG,16267421385.156738,9873240000,,EOG Resources
2020-09-30,2020,3,EQT,7334138419.702637,2658629000,,EQT Corporation
2020-09-30,2020,3,FANG,7237449468.339844,2813000000,,Diamondback Energy
2020-09-30,2020,3,MRO,2151594805.435379,3097000000,,Marathon Oil
2020-09-30,2020,3,OXY,9051481901.474,17809000000,,Occidental Petroleum
2020-12-31,2020,4,APA,4840861398.053467,4435000000,,APA Corporation
2020-12-31,2020,4,COP,39771594774.11914,18784000000,,ConocoPhillips
2020-12-31,2020,4,CTRA,9582830807.493164,1466624000,,Coterra
2020-12-31,2020,4,DVN,8291549722.259399,4828000000,,Devon Energy
2020-12-31,2020,4,EOG,22799789701.94751,9873240000,,EOG Resources
2020-12-31,2020,4,EQT,7209350871.529297,2658629000,,EQT Corporation
2020-12-31,2020,4,FANG,11766079062.257812,2813000000,,Diamondback Energy
2020-12-31,2020,4,MRO,3528149777.1812134,3097000000,,Marathon Oil
2020-12-31,2020,4,OXY,15660643072.616575,17809000000,,Occidental Petroleum
2021-03-31,2021,1,APA,6115264516.483887,7985000000,,APA Corporation
2021-03-31,2021,1,COP,53164541903.31055,45828000000,,ConocoPhillips
2021-03-31,2021,1,CTRA,11114118200.872925,3449000000,,Coterra
2021-03-31,2021,1,DVN,11600466177.03296,12206000000,,Devon Energy
2021-03-31,2021,1,EOG,33366511100.689453,19669000000,,EOG Resources
2021-03-31,2021,1,EQT,10538925114.31006,6839705000,,EQT Corporation
2021-03-31,2021,1,FANG,17966687141.666016,6797000000,,Diamondback Energy
2021-03-31,2021,1,MRO,5668228427.595764,5601000000,,Marathon Oil
2021-03-31,2021,1,OXY,24091648341.003414,25956000000,,Occidental Petroleum
2021-06-30,2021,2,APA,7400446654.259033,7985000000,,APA Corporation
2021-06-30,2021,2,COP,61599295868.35547,45828000000,,ConocoPhillips
2021-06-30,2021,2,CTRA,10398633967.265623,3449000000,,Coterra
2021-06-30,2021,2,DVN,15678754391.98462,12206000000,,Devon Energy
2021-06-30,2021,2,EOG,38600610438.336914,19669000000,,EOG Resources
2021-06-30,2021,2,EQT,12626289259.862305,6839705000,,EQT Corporation
2021-06-30,2021,2,FANG,23069672172.808594,6797000000,,Diamondback Energy
2021-06-30,2021,2,MRO,7252264514.034241,5601000000,,Marathon Oil
2021-06-30,2021,2,OXY,28309697216.46118,25956000000,,Occidental Petroleum
2021-09-30,2021,3,APA,7342472380.340332,7985000000,,APA Corporation
2021-09-30,2021,3,COP,69072281542.63281,45828000000,,ConocoPhillips
2021-09-30,2021,3,CTRA,13047202545.670898,3449000000,,Coterra
2021-09-30,2021,3,DVN,19407658547.26538,12206000000,,Devon Energy
2021-09-30,2021,3,EOG,37804691702.20459,19669000000,,EOG Resources
2021-09-30,2021,3,EQT,11605293193.921877,6839705000,,EQT Corporation
2021-09-30,2021,3,FANG,23396099167.03125,6797000000,,Diamondback Energy
2021-09-30,2021,3,MRO,7310209532.804626,5601000000,,Marathon Oil
2021-09-30,2021,3,OXY,26790439334.16748,25956000000,,Occidental Petroleum
2021-12-31,2021,4,APA,9234402666.33374,7985000000,,APA Corporation
2021-12-31,2021,4,COP,74214330358.86328,45828000000,,ConocoPhillips
2021-12-31,2021,4,CTRA,11834488947.210203,3449000000,,Coterra
2021-12-31,2021,4,DVN,24534004970.935547,12206000000,,Devon Energy
2021-12-31,2021,4,EOG,43005242807.01123,19669000000,,EOG Resources
2021-12-31,2021,4,EQT,12371039674.33496,6839705000,,EQT Corporation
2021-12-31,2021,4,FANG,26768989495.464844,6797000000,,Diamondback Energy
2021-12-31,2021,4,MRO,8812373886.174072,5601000000,,Marathon Oil
2021-12-31,2021,4,OXY,26264616878.967285,25956000000,,Occidental Petroleum
2022-03-31,2022,1,APA,14248306980.597168,11075000000,,APA Corporation
2022-03-31,2022,1,COP,103644397030.69531,78494000000,,ConocoPhillips
2022-03-31,2022,1,CTRA,17175788770.680176,9051000000,,Coterra
2022-03-31,2022,1,DVN,33485775571.3916,19169000000,,Devon Energy
2022-03-31,2022,1,EOG,58649777611.68164,29492000000,,EOG Resources
2022-03-31,2022,1,EQT,19631237883.933594,12140621000,,EQT Corporation
2022-03-31,2022,1,FANG,34174066646.91797,9643000000,,Diamondback Energy
2022-03-31,2022,1,MRO,13520792111.357788,7540000000,,Marathon Oil
2022-03-31,2022,1,OXY,51528492268.341064,36634000000,,Occidental Petroleum
2022-06-30,2022,2,APA,12065619068.902832,11075000000,,APA Corporation
2022-06-30,2022,2,COP,94226528781.1289,78494000000,,ConocoPhillips
2022-06-30,2022,2,CTRA,16764359291.580322,9051000000,,Coterra
2022-06-30,2022,2,DVN,31726794499.012207,19169000000,,Devon Energy
2022-06-30,2022,2,EOG,55406391275.49463,29492000000,,EOG Resources
2022-06-30,2022,2,EQT,19692887919.817383,12140621000,,EQT Corporation
2022-06-30,2022,2,FANG,30929262340.464844,9643000000,,Diamondback Energy
2022-06-30,2022,2,MRO,12139343257.207886,7540000000,,Marathon Oil
2022-06-30,2022,2,OXY,53572834151.275635,36634000000,,Occidental Petroleum
2022-09-30,2022,3,APA,11862523885.483398,11075000000,,APA Corporation
2022-09-30,2022,3,COP,109406471890.09766,78494000000,,ConocoPhillips
2022-09-30,2022,3,CTRA,17363676449.62793,9051000000,,Coterra
2022-09-30,2022,3,DVN,35413359398.54297,19169000000,,Devon Energy
2022-09-30,2022,3,EOG,57177556024.60986,29492000000,,EOG Resources
2022-09-30,2022,3,EQT,23411110043.418945,12140621000,,EQT Corporation
2022-09-30,2022,3,FANG,31474177618.664062,9643000000,,Diamondback Energy
2022-09-30,2022,3,MRO,12235193091.0448,7540000000,,Marathon Oil
2022-09-30,2022,3,OXY,56023907530.2124,36634000000,,Occidental Petroleum
2022-12-31,2022,4,APA,16293231460.841797,11075000000,,APA Corporation
2022-12-31,2022,4,COP,127419909079.04295,78494000000,,ConocoPhillips
2022-12-31,2022,4,CTRA,16737903559.922607,9051000000,,Coterra
2022-12-31,2022,4,DVN,37012999428.3457,19169000000,,Devon Energy
2022-12-31,2022,4,EOG,67468246871.85498,29492000000,,EOG Resources
2022-12-31,2022,4,EQT,19501739804.12793,12140621000,,EQT Corporation
2022-12-31,2022,4,FANG,36228508786.62891,9643000000,,Diamondback Energy
2022-12-31,2022,4,MRO,14708875726.649658,7540000000,,Marathon Oil
2022-12-31,2022,4,OXY,57545341534.63745,36634000000,,Occidental Petroleum
2023-03-31,2023,1,APA,12656483757.743652,8279000000,31.1,APA Corporation
2023-03-31,2023,1,COP,108273307825.95312,57861000000,77.67,ConocoPhillips
2023-03-31,2023,1,CTRA,17109284147.312256,5684000000,175.08,Coterra
2023-03-31,2023,1,DVN,31006162624.555664,15140000000,143.41,Devon Energy
2023-03-31,2023,1,EOG,60647304963.839355,23273000000,37.37,EOG Resources
2023-03-31,2023,1,EQT,18482028635.55713,5069982000,33.43,EQT Corporation
2023-03-31,2023,1,FANG,36547579918.03125,8412000000,112.21,Diamondback Energy
2023-03-31,2023,1,MRO,13066823133.119629,6407000000,26.55,Marathon Oil
2023-03-31,2023,1,OXY,57199405896.606445,28257000000,38.56,Occidental Petroleum
2023-06-30,2023,2,APA,12070918259.481443,8279000000,31.1,APA Corporation
2023-06-30,2023,2,COP,114341154606.57812,57861000000,77.67,ConocoPhillips
2023-06-30,2023,2,CTRA,17778538289.45215,5684000000,175.08,Coterra
2023-06-30,2023,2,DVN,30044751291.766113,15140000000,143.41,Devon Energy
2023-06-30,2023,2,EOG,60957958681.961426,23273000000,37.37,EOG Resources
2023-06-30,2023,2,EQT,23933363350.907227,5069982000,33.43,EQT Corporation
2023-06-30,2023,2,FANG,35740618153.03125,8412000000,112.21,Diamondback Energy
2023-06-30,2023,2,MRO,12609808965.79773,6407000000,26.55,Marathon Oil
2023-06-30,2023,2,OXY,54035541929.84009,28257000000,38.56,Occidental Petroleum
2023-09-30,2023,3,APA,14615091409.080078,8279000000,31.1,APA Corporation
2023-09-30,2023,3,COP,133449884501.76562,57861000000,77.67,ConocoPhillips
2023-09-30,2023,3,CTRA,19146773093.668945,5684000000,175.08,Coterra
2023-09-30,2023,3,DVN,29936585218.467773,15140000000,143.41,Devon Energy
2023-09-30,2023,3,EOG,67977911384.86816,23273000000,37.37,EOG Resources
2023-09-30,2023,3,EQT,23697652399.606445,5069982000,33.43,EQT Corporation
2023-09-30,2023,3,FANG,42378564801.515625,8412000000,112.21,Diamondback Energy
2023-09-30,2023,3,MRO,14708622850.050903,6407000000,26.55,Marathon Oil
2023-09-30,2023,3,OXY,59787004183.6853,28257000000,38.56,Occidental Petroleum
2023-12-31,2023,4,APA,12832961621.987791,8279000000,31.1,APA Corporation
2023-12-31,2023,4,COP,129946814628.41016,57861000000,77.67,ConocoPhillips
2023-12-31,2023,4,CTRA,18197550433.64795,5684000000,175.08,Coterra
2023-12-31,2023,4,DVN,28934170261.04297,15140000000,143.41,Devon Energy
2023-12-31,2023,4,EOG,66101330175.28125,23273000000,37.37,EOG Resources
2023-12-31,2023,4,EQT,22660648037.473633,5069982000,33.43,EQT Corporation
2023-12-31,2023,4,FANG,43351191646.61719,8412000000,112.21,Diamondback Energy
2023-12-31,2023,4,MRO,13343019862.433104,6407000000,26.55,Marathon Oil
2023-12-31,2023,4,OXY,55198764826.96533,28257000000,38.56,Occidental Petroleum
