Date,Year,Quarter,Ticker,MarketCap,Revenue,Revenue_YoY_Growth,Company_Name
2019-09-30,2019,3,ALB,7717684901.275635,3589427000,,Albemarle Corporation
2019-09-30,2019,3,CE,11905291967.895508,6297000000,,Celanese
2019-09-30,2019,3,DD,27041120145.73242,21512000000,,DuPont
2019-09-30,2019,3,ECL,53143104562.65234,12562000000,,Ecolab
2019-09-30,2019,3,EMN,7219480678.512573,9273000000,,Eastman Chemical Company
2019-09-30,2019,3,IFF,27295793523.376465,5140084000,,International Flavors & Fragrances
2019-09-30,2019,3,LYB,21558005005.6875,34727000000,,LyondellBasell
2019-09-30,2019,3,PPG,25003333068.847656,15146000000,,PPG Industries
2019-09-30,2019,3,SHW,44152827784.10449,17900800000,,Sherwin-Williams
2019-12-31,2019,4,ALB,8154149180.603027,3589427000,,Albemarle Corporation
2019-12-31,2019,4,CE,12046561070.06836,6297000000,,Celanese
2019-12-31,2019,4,DD,24457733965.83691,21512000000,,DuPont
2019-12-31,2019,4,ECL,51919492740.4043,12562000000,,Ecolab
2019-12-31,2019,4,EMN,7814969212.738037,9273000000,,Eastman Chemical Company
2019-12-31,2019,4,IFF,28877223132.43103,5140084000,,International Flavors & Fragrances
2019-12-31,2019,4,LYB,23020828713.640625,34727000000,,LyondellBasell
2019-12-31,2019,4,PPG,28274892028.808594,15146000000,,PPG Industries
2019-12-31,2019,4,SHW,46946383815.33301,17900800000,,Sherwin-Williams
2020-03-31,2020,1,ALB,6327885958.099365,3128909000,,Albemarle Corporation
2020-03-31,2020,1,CE,7221294039.0625,5655000000,,Celanese
2020-03-31,2020,1,DD,13073781213.806765,20397000000,,DuPont
2020-03-31,2020,1,ECL,42032163770.33789,11790200000,,Ecolab
2020-03-31,2020,1,EMN,4665352332.90863,8473000000,,Eastman Chemical Company
2020-03-31,2020,1,IFF,23018535163.391113,5084239000,,International Flavors & Fragrances
2020-03-31,2020,1,LYB,12274535557.033203,27753000000,,LyondellBasell
2020-03-31,2020,1,PPG,17783430480.95703,13834000000,,PPG Industries
2020-03-31,2020,1,SHW,37063378959.93555,18361700000,,Sherwin-Williams
2020-06-30,2020,2,ALB,8707280913.391113,3128909000,,Albemarle Corporation
2020-06-30,2020,2,CE,8563572668.945312,5655000000,,Celanese
2020-06-30,2020,2,DD,20494101690.39624,20397000000,,DuPont
2020-06-30,2020,2,ECL,53786842673.52539,11790200000,,Ecolab
2020-06-30,2020,2,EMN,7044880266.536713,8473000000,,Eastman Chemical Company
2020-06-30,2020,2,IFF,27783103455.82581,5084239000,,International Flavors & Fragrances
2020-06-30,2020,2,LYB,16488046428.259766,27753000000,,LyondellBasell
2020-06-30,2020,2,PPG,22689197143.554688,13834000000,,PPG Industries
2020-06-30,2020,2,SHW,46718372619.63379,18361700000,,Sherwin-Williams
2020-09-30,2020,3,ALB,10108254370.880129,3128909000,,Albemarle Corporation
2020-09-30,2020,3,CE,10728003045.043943,5655000000,,Celanese
2020-09-30,2020,3,DD,21516844980.10254,20397000000,,DuPont
2020-09-30,2020,3,ECL,54152461067.7832,11790200000,,Ecolab
2020-09-30,2020,3,EMN,7968467802.436829,8473000000,,Eastman Chemical Company
2020-09-30,2020,3,IFF,27959337392.959595,5084239000,,International Flavors & Fragrances
2020-09-30,2020,3,LYB,17958349071.304688,27753000000,,LyondellBasell
2020-09-30,2020,3,PPG,26243495483.39844,13834000000,,PPG Industries
2020-09-30,2020,3,SHW,56444184561.44531,18361700000,,Sherwin-Williams
2020-12-31,2020,4,ALB,16747410769.958496,3128909000,,Albemarle Corporation
2020-12-31,2020,4,CE,13040723255.493164,5655000000,,Celanese
2020-12-31,2020,4,DD,27706735306.979004,20397000000,,DuPont
2020-12-31,2020,4,ECL,58756509185.22656,11790200000,,Ecolab
2020-12-31,2020,4,EMN,10298177430.2063,8473000000,,Eastman Chemical Company
2020-12-31,2020,4,IFF,25026065676.30005,5084239000,,International Flavors & Fragrances
2020-12-31,2020,4,LYB,23629458182.83203,27753000000,,LyondellBasell
2020-12-31,2020,4,PPG,31124044677.734375,13834000000,,PPG Industries
2020-12-31,2020,4,SHW,59646267697.08301,18361700000,,Sherwin-Williams
2021-03-31,2021,1,ALB,16629919194.94629,3327957000,,Albemarle Corporation
2021-03-31,2021,1,CE,15115594697.753906,8537000000,,Celanese
2021-03-31,2021,1,DD,30240833076.24023,12566000000,,DuPont
2021-03-31,2021,1,ECL,58264868672.021484,12733100000,,Ecolab
2021-03-31,2021,1,EMN,11375193250.297546,10476000000,,Eastman Chemical Company
2021-03-31,2021,1,IFF,32283355955.13916,11656000000,,International Flavors & Fragrances
2021-03-31,2021,1,LYB,27091460581.71875,46173000000,,LyondellBasell
2021-03-31,2021,1,PPG,32556231201.171875,16802000000,,PPG Industries
2021-03-31,2021,1,SHW,60045045182.34082,19944600000,,Sherwin-Williams
2021-06-30,2021,2,ALB,19216722856.75049,3327957000,,Albemarle Corporation
2021-06-30,2021,2,CE,15364017912.353516,8537000000,,Celanese
2021-06-30,2021,2,DD,30400856987.689453,12566000000,,DuPont
2021-06-30,2021,2,ECL,56185972506.31641,12733100000,,Ecolab
2021-06-30,2021,2,EMN,12126822800.094604,10476000000,,Eastman Chemical Company
2021-06-30,2021,2,IFF,34727320223.724365,11656000000,,International Flavors & Fragrances
2021-06-30,2021,2,LYB,27043512146.4375,46173000000,,LyondellBasell
2021-06-30,2021,2,PPG,36894014526.36719,16802000000,,PPG Industries
2021-06-30,2021,2,SHW,66630503642.60547,19944600000,,Sherwin-Williams
2021-09-30,2021,3,ALB,25020251389.160156,3327957000,,Albemarle Corporation
2021-09-30,2021,3,CE,15336773603.515623,8537000000,,Celanese
2021-09-30,2021,3,DD,26809713018.881836,12566000000,,DuPont
2021-09-30,2021,3,ECL,57030066213.50391,12733100000,,Ecolab
2021-09-30,2021,3,EMN,10529794724.54834,10476000000,,Eastman Chemical Company
2021-09-30,2021,3,IFF,31268859904.296875,11656000000,,International Flavors & Fragrances
2021-09-30,2021,3,LYB,24950869685.57422,46173000000,,LyondellBasell
2021-09-30,2021,3,PPG,31190646972.65625,16802000000,,PPG Industries
2021-09-30,2021,3,SHW,68536087265.63867,19944600000,,Sherwin-Williams
2021-12-31,2021,4,ALB,26754863148.19336,3327957000,,Albemarle Corporation
2021-12-31,2021,4,CE,17180922045.654297,8537000000,,Celanese
2021-12-31,2021,4,DD,31977693912.51709,12566000000,,DuPont
2021-12-31,2021,4,ECL,64270718970.9375,12733100000,,Ecolab
2021-12-31,2021,4,EMN,12722279497.86377,10476000000,,Eastman Chemical Company
2021-12-31,2021,4,IFF,35423313968.71948,11656000000,,International Flavors & Fragrances
2021-12-31,2021,4,LYB,24826580859.664062,46173000000,,LyondellBasell
2021-12-31,2021,4,PPG,37746438232.421875,16802000000,,PPG Industries
2021-12-31,2021,4,SHW,86424690021.75586,19944600000,,Sherwin-Williams
2022-03-31,2022,1,ALB,25362895841.674805,7320104000,,Albemarle Corporation
2022-03-31,2022,1,CE,14670959441.40625,9673000000,,Celanese
2022-03-31,2022,1,DD,29255243433.19922,13017000000,,DuPont
2022-03-31,2022,1,ECL,48528012713.04492,14187800000,,Ecolab
2022-03-31,2022,1,EMN,11876694375.106812,10580000000,,Eastman Chemical Company
2022-03-31,2022,1,IFF,31075108691.467285,12440000000,,International Flavors & Fragrances
2022-03-31,2022,1,LYB,27994111184.10156,50451000000,,LyondellBasell
2022-03-31,2022,1,PPG,28802602111.816406,17652000000,,PPG Industries
2022-03-31,2022,1,SHW,61402302077.20117,22148900000,,Sherwin-Williams
2022-06-30,2022,2,ALB,24004546237.79297,7320104000,,Albemarle Corporation
2022-06-30,2022,2,CE,12136343413.57422,9673000000,,Celanese
2022-06-30,2022,2,DD,22207263783.848877,13017000000,,DuPont
2022-06-30,2022,2,ECL,42409893111.87891,14187800000,,Ecolab
2022-06-30,2022,2,EMN,9588799279.647827,10580000000,,Eastman Chemical Company
2022-06-30,2022,2,IFF,28379759812.454224,12440000000,,International Flavors & Fragrances
2022-06-30,2022,2,LYB,25209903228.097656,50451000000,,LyondellBasell
2022-06-30,2022,2,PPG,25242055603.027344,17652000000,,PPG Industries
2022-06-30,2022,2,SHW,55205644747.71387,22148900000,,Sherwin-Williams
2022-09-30,2022,3,ALB,30414099144.28711,7320104000,,Albemarle Corporation
2022-09-30,2022,3,CE,9377672497.314451,9673000000,,Celanese
2022-09-30,2022,3,DD,20250016118.783936,13017000000,,DuPont
2022-09-30,2022,3,ECL,39963032406.9375,14187800000,,Ecolab
2022-09-30,2022,3,EMN,7658418744.9646,10580000000,,Eastman Chemical Company
2022-09-30,2022,3,IFF,21818043878.356937,12440000000,,International Flavors & Fragrances
2022-09-30,2022,3,LYB,21987496821.36328,50451000000,,LyondellBasell
2022-09-30,2022,3,PPG,24554941101.07422,17652000000,,PPG Industries
2022-09-30,2022,3,SHW,50602421823.60547,22148900000,,Sherwin-Williams
2022-12-31,2022,4,ALB,24981581346.13037,7320104000,,Albemarle Corporation
2022-12-31,2022,4,CE,10691029578.61328,9673000000,,Celanese
2022-12-31,2022,4,DD,27706410055.126465,13017000000,,DuPont
2022-12-31,2022,4,ECL,40427232097.38281,14187800000,,Ecolab
2022-12-31,2022,4,EMN,8857776760.536194,10580000000,,Eastman Chemical Company
2022-12-31,2022,4,IFF,25381219662.887573,12440000000,,International Flavors & Fragrances
2022-12-31,2022,4,LYB,24583179121.51172,50451000000,,LyondellBasell
2022-12-31,2022,4,PPG,28042851318.359375,17652000000,,PPG Industries
2022-12-31,2022,4,SHW,58800836985.38184,22148900000,,Sherwin-Williams
2023-03-31,2023,1,ALB,25510699665.527344,9617203000,167.93,Albemarle Corporation
2023-03-31,2023,1,CE,11452533936.157228,10940000000,73.73,Celanese
2023-03-31,2023,1,DD,29117805393.03955,12068000000,-43.9,DuPont
2023-03-31,2023,1,ECL,46131786396.69141,15320200000,21.96,Ecolab
2023-03-31,2023,1,EMN,9265041090.35492,9198000000,-0.81,Eastman Chemical Company
2023-03-31,2023,1,IFF,22482368027.48108,11479000000,123.32,International Flavors & Fragrances
2023-03-31,2023,1,LYB,28141365804.070312,41107000000,18.37,LyondellBasell
2023-03-31,2023,1,PPG,29932977294.921875,18246000000,20.47,PPG Industries
2023-03-31,2023,1,SHW,55840434495.70801,23051900000,28.78,Sherwin-Williams
2023-06-30,2023,2,ALB,25792784187.01172,9617203000,167.93,Albemarle Corporation
2023-06-30,2023,2,CE,12262302284.545898,10940000000,73.73,Celanese
2023-06-30,2023,2,DD,29139099823.149902,12068000000,-43.9,DuPont
2023-06-30,2023,2,ECL,52180662315.67383,15320200000,21.96,Ecolab
2023-06-30,2023,2,EMN,9285917846.572876,9198000000,-0.81,Eastman Chemical Company
2023-06-30,2023,2,IFF,19661913028.259277,11479000000,123.32,International Flavors & Fragrances
2023-06-30,2023,2,LYB,27917034916.804688,41107000000,18.37,LyondellBasell
2023-06-30,2023,2,PPG,33380713378.90625,18246000000,20.47,PPG Industries
2023-06-30,2023,2,SHW,66139886820.14648,23051900000,28.78,Sherwin-Williams
2023-09-30,2023,3,ALB,19702050639.03809,9617203000,167.93,Albemarle Corporation
2023-09-30,2023,3,CE,13365908531.49414,10940000000,73.73,Celanese
2023-09-30,2023,3,DD,30565338762.76465,12068000000,-43.9,DuPont
2023-09-30,2023,3,ECL,47489469818.72461,15320200000,21.96,Ecolab
2023-09-30,2023,3,EMN,8596604622.59674,9198000000,-0.81,Eastman Chemical Company
2023-09-30,2023,3,IFF,17037869995.101929,11479000000,123.32,International Flavors & Fragrances
2023-09-30,2023,3,LYB,29164283926.53125,41107000000,18.37,LyondellBasell
2023-09-30,2023,3,PPG,29349658508.30078,18246000000,20.47,PPG Industries
2023-09-30,2023,3,SHW,63672933423.05957,23051900000,28.78,Sherwin-Williams
2023-12-31,2023,4,ALB,16788432115.17334,9617203000,167.93,Albemarle Corporation
2023-12-31,2023,4,CE,16644388722.90039,10940000000,73.73,Celanese
2023-12-31,2023,4,DD,31684221079.217285,12068000000,-43.9,DuPont
2023-12-31,2023,4,ECL,55766824848.45117,15320200000,21.96,Ecolab
2023-12-31,2023,4,EMN,10156213365.493774,9198000000,-0.81,Eastman Chemical Company
2023-12-31,2023,4,IFF,20438698867.630005,11479000000,123.32,International Flavors & Fragrances
2023-12-31,2023,4,LYB,29671897598.57422,41107000000,18.37,LyondellBasell
