date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,2410706000,,ANET,Arista Networks
2020-12-31,4,2020,2317512000,,ANET,Arista Networks
2021-12-31,4,2021,2948037000,,ANET,Arista Networks
2022-12-31,4,2022,4381310000,,ANET,Arista Networks
2023-12-31,4,2023,5860168000,143.09,ANET,Arista Networks
2020-07-25,3,2020,49301000000,,CSCO,Cisco
2021-07-31,3,2021,49818000000,,CSCO,Cisco
2022-07-30,3,2022,51557000000,,CSCO,Cisco
2023-07-29,3,2023,56998000000,,CSCO,Cisco
2020-09-30,3,2020,2350822000,,FFIV,"F5, Inc."
2021-09-30,3,2021,2603416000,,FFIV,"F5, Inc."
2022-09-30,3,2022,2695845000,,FFIV,"F5, Inc."
2023-09-30,3,2023,2813169000,,FFIV,"F5, Inc."
2019-12-31,4,2019,4445400000,,JNPR,Juniper Networks
2020-12-31,4,2020,4445100000,,JNPR,Juniper Networks
2021-12-31,4,2021,4735400000,,JNPR,Juniper Networks
2022-12-31,4,2022,5301200000,,JNPR,Juniper Networks
2023-12-31,4,2023,5564500000,25.17,JNPR,Juniper Networks
2019-12-31,4,2019,7887000000,,MSI,Motorola Solutions
2020-12-31,4,2020,7414000000,,MSI,Motorola Solutions
2021-12-31,4,2021,8171000000,,MSI,Motorola Solutions
2022-12-31,4,2022,9112000000,,MSI,Motorola Solutions
2023-12-31,4,2023,9978000000,26.51,MSI,Motorola Solutions
