date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-09-27,3,2019,12737868000,,J,Jacobs Solutions
2020-10-02,4,2020,13566975000,,J,Jacobs Solutions
2021-10-01,4,2021,14092632000,,J,Jacobs Solutions
2022-09-30,3,2022,14922825000,,J,Jacobs Solutions
2023-09-29,3,2023,16352414000,,J,Jacobs Solutions
2019-12-31,4,2019,12112153000,,PWR,Quanta Services
2020-12-31,4,2020,11202672000,,PWR,Quanta Services
2021-12-31,4,2021,12980213000,,PWR,Quanta Services
2022-12-31,4,2022,17073903000,,PWR,Quanta Services
2023-12-31,4,2023,20882206000,72.41,PWR,Quanta Services
