date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,4590000000,,CF,CF Industries
2020-12-31,4,2020,4124000000,,CF,CF Industries
2021-12-31,4,2021,6538000000,,CF,CF Industries
2022-12-31,4,2022,11186000000,,CF,CF Industries
2023-12-31,4,2023,6631000000,44.47,CF,CF Industries
2019-12-31,4,2019,13846000000,,CTVA,Corteva
2020-12-31,4,2020,14217000000,,CTVA,Corteva
2021-12-31,4,2021,15655000000,,CTVA,Corteva
2022-12-31,4,2022,17455000000,,CTVA,Corteva
2023-12-31,4,2023,17226000000,24.41,CTVA,Corteva
2019-12-31,4,2019,4609800000,,FMC,FMC Corporation
2020-12-31,4,2020,4642100000,,FMC,FMC Corporation
2021-12-31,4,2021,5045200000,,FMC,FMC Corporation
2022-12-31,4,2022,5802300000,,FMC,FMC Corporation
2023-12-31,4,2023,4486800000,-2.67,FMC,FMC Corporation
2019-12-31,4,2019,8906300000,,MOS,Mosaic Company (The)
2020-12-31,4,2020,8681700000,,MOS,Mosaic Company (The)
2021-12-31,4,2021,12357400000,,MOS,Mosaic Company (The)
2022-12-31,4,2022,19125200000,,MOS,Mosaic Company (The)
2023-12-31,4,2023,13696100000,53.78,MOS,Mosaic Company (The)
