date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,31904000000,,ABT,Abbott Laboratories
2020-12-31,4,2020,34608000000,,ABT,Abbott Laboratories
2021-12-31,4,2021,43075000000,,ABT,Abbott Laboratories
2022-12-31,4,2022,43653000000,,ABT,Abbott Laboratories
2023-12-31,4,2023,40109000000,25.72,ABT,Abbott Laboratories
2019-12-31,4,2019,11362000000,,BAX,Baxter International
2020-12-31,4,2020,11673000000,,BAX,Baxter International
2021-12-31,4,2021,12784000000,,BAX,Baxter International
2022-12-31,4,2022,15113000000,,BAX,Baxter International
2023-12-31,4,2023,14813000000,30.37,BAX,Baxter International
2020-09-30,3,2020,17117000000,,BDX,Becton Dickinson
2021-09-30,3,2021,20248000000,,BDX,Becton Dickinson
2022-09-30,3,2022,18870000000,,BDX,Becton Dickinson
2023-09-30,3,2023,19372000000,,BDX,Becton Dickinson
2019-12-31,4,2019,10735000000,,BSX,Boston Scientific
2020-12-31,4,2020,9913000000,,BSX,Boston Scientific
2021-12-31,4,2021,11888000000,,BSX,Boston Scientific
2022-12-31,4,2022,12682000000,,BSX,Boston Scientific
2023-12-31,4,2023,14240000000,32.65,BSX,Boston Scientific
2019-12-31,4,2019,1476000000,,DXCM,Dexcom
2020-12-31,4,2020,1926700000,,DXCM,Dexcom
2021-12-31,4,2021,2448500000,,DXCM,Dexcom
2022-12-31,4,2022,2909800000,,DXCM,Dexcom
2023-12-31,4,2023,3622300000,145.41,DXCM,Dexcom
2019-12-31,4,2019,4348000000,,EW,Edwards Lifesciences
2020-12-31,4,2020,4386300000,,EW,Edwards Lifesciences
2021-12-31,4,2021,5232500000,,EW,Edwards Lifesciences
2022-12-31,4,2022,5382400000,,EW,Edwards Lifesciences
2023-12-31,4,2023,6004800000,38.1,EW,Edwards Lifesciences
2019-12-31,4,2019,16633000000,,GEHC,GE HealthCare
2020-12-31,4,2020,17164000000,,GEHC,GE HealthCare
2021-12-31,4,2021,17585000000,,GEHC,GE HealthCare
2022-12-31,4,2022,18341000000,,GEHC,GE HealthCare
2023-12-31,4,2023,19552000000,17.55,GEHC,GE HealthCare
2020-09-26,3,2020,3776400000,,HOLX,Hologic
2021-09-25,3,2021,5632300000,,HOLX,Hologic
2022-09-24,3,2022,4862800000,,HOLX,Hologic
2023-09-30,3,2023,4030400000,,HOLX,Hologic
2019-12-31,4,2019,2406908000,,IDXX,Idexx Laboratories
2020-12-31,4,2020,2706655000,,IDXX,Idexx Laboratories
2021-12-31,4,2021,3215360000,,IDXX,Idexx Laboratories
2022-12-31,4,2022,3367324000,,IDXX,Idexx Laboratories
2023-12-31,4,2023,3660953000,52.1,IDXX,Idexx Laboratories
2019-12-31,4,2019,738200000,,PODD,Insulet Corporation
2020-12-31,4,2020,904400000,,PODD,Insulet Corporation
2021-12-31,4,2021,1098800000,,PODD,Insulet Corporation
2022-12-31,4,2022,1305300000,,PODD,Insulet Corporation
2023-12-31,4,2023,1697100000,129.9,PODD,Insulet Corporation
2019-12-31,4,2019,4478500000,,ISRG,Intuitive Surgical
2020-12-31,4,2020,4358400000,,ISRG,Intuitive Surgical
2021-12-31,4,2021,5710100000,,ISRG,Intuitive Surgical
2022-12-31,4,2022,6222200000,,ISRG,Intuitive Surgical
2023-12-31,4,2023,7124100000,59.07,ISRG,Intuitive Surgical
2020-04-24,2,2020,28913000000,,MDT,Medtronic
2021-04-30,2,2021,30117000000,,MDT,Medtronic
2022-04-29,2,2022,31686000000,,MDT,Medtronic
2023-04-28,2,2023,31227000000,,MDT,Medtronic
2024-04-26,2,2024,32364000000,11.94,MDT,Medtronic
2020-06-30,2,2020,2957013000,,RMD,ResMed
2021-06-30,2,2021,3196825000,,RMD,ResMed
2022-06-30,2,2022,3578127000,,RMD,ResMed
2023-06-30,2,2023,4222993000,,RMD,ResMed
2024-06-30,2,2024,4685297000,58.45,RMD,ResMed
2019-12-31,4,2019,2883673000,,RVTY,Revvity
2020-12-31,4,2020,3782745000,,RVTY,Revvity
2021-12-31,4,2021,5067169000,,RVTY,Revvity
2022-12-31,4,2022,3311822000,,RVTY,Revvity
2023-12-31,4,2023,2750571000,-4.62,RVTY,Revvity
2020-03-31,1,2020,3030895000,,STE,Steris
2021-03-31,1,2021,3107519000,,STE,Steris
2022-03-31,1,2022,4585064000,,STE,Steris
2023-03-31,1,2023,4957839000,,STE,Steris
2024-03-31,1,2024,5138701000,69.54,STE,Steris
2019-12-31,4,2019,14884000000,,SYK,Stryker Corporation
2020-12-31,4,2020,14351000000,,SYK,Stryker Corporation
2021-12-31,4,2021,17108000000,,SYK,Stryker Corporation
2022-12-31,4,2022,18449000000,,SYK,Stryker Corporation
2023-12-31,4,2023,20498000000,37.72,SYK,Stryker Corporation
2019-12-31,4,2019,2595362000,,TFX,Teleflex
2020-12-31,4,2020,2537156000,,TFX,Teleflex
2021-12-31,4,2021,2809563000,,TFX,Teleflex
2022-12-31,4,2022,2791041000,,TFX,Teleflex
2023-12-31,4,2023,2974489000,14.61,TFX,Teleflex
2019-12-31,4,2019,7982200000,,ZBH,Zimmer Biomet
2020-12-31,4,2020,7024500000,,ZBH,Zimmer Biomet
2021-12-31,4,2021,6827300000,,ZBH,Zimmer Biomet
2022-12-31,4,2022,6939900000,,ZBH,Zimmer Biomet
2023-12-31,4,2023,7394200000,-7.37,ZBH,Zimmer Biomet
