date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2020-08-31,3,2020,44327039000,,ACN,Accenture
2021-08-31,3,2021,50533389000,,ACN,Accenture
2022-08-31,3,2022,61594305000,,ACN,Accenture
2023-08-31,3,2023,64111745000,,ACN,Accenture
2019-12-31,4,2019,16783000000,,CTSH,Cognizant
2020-12-31,4,2020,16652000000,,CTSH,Cognizant
2021-12-31,4,2021,18507000000,,CTSH,Cognizant
2022-12-31,4,2022,19428000000,,CTSH,Cognizant
2023-12-31,4,2023,19353000000,15.31,CTSH,Cognizant
2019-12-31,4,2019,2293798000,,EPAM,EPAM Systems
2020-12-31,4,2020,2659478000,,EPAM,EPAM Systems
2021-12-31,4,2021,3758144000,,EPAM,EPAM Systems
2022-12-31,4,2022,4824698000,,EPAM,EPAM Systems
2023-12-31,4,2023,4690540000,104.49,EPAM,EPAM Systems
2019-12-31,4,2019,4245321000,,IT,Gartner
2020-12-31,4,2020,4099444000,,IT,Gartner
2021-12-31,4,2021,4733939000,,IT,Gartner
2022-12-31,4,2022,5475829000,,IT,Gartner
2023-12-31,4,2023,5906956000,39.14,IT,Gartner
2019-12-31,4,2019,77147000000,,IBM,IBM
2020-12-31,4,2020,73620000000,,IBM,IBM
2021-12-31,4,2021,57351000000,,IBM,IBM
2022-12-31,4,2022,60530000000,,IBM,IBM
2023-12-31,4,2023,61860000000,-19.82,IBM,IBM
