date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,74639000000,,CNC,Centene Corporation
2020-12-31,4,2020,111115000000,,CNC,Centene Corporation
2021-12-31,4,2021,125982000000,,CNC,Centene Corporation
2022-12-31,4,2022,144547000000,,CNC,Centene Corporation
2023-12-31,4,2023,153999000000,106.33,CNC,Centene Corporation
2019-12-31,4,2019,104213000000,,ELV,Elevance Health
2020-12-31,4,2020,121867000000,,ELV,Elevance Health
2021-12-31,4,2021,138639000000,,ELV,Elevance Health
2022-12-31,4,2022,156595000000,,ELV,Elevance Health
2023-12-31,4,2023,171340000000,64.41,ELV,Elevance Health
2019-12-31,4,2019,64888000000,,HUM,Humana
2020-12-31,4,2020,77155000000,,HUM,Humana
2021-12-31,4,2021,83064000000,,HUM,Humana
2022-12-31,4,2022,92870000000,,HUM,Humana
2023-12-31,4,2023,106374000000,63.93,HUM,Humana
2019-12-31,4,2019,16829000000,,MOH,Molina Healthcare
2020-12-31,4,2020,19423000000,,MOH,Molina Healthcare
2021-12-31,4,2021,27771000000,,MOH,Molina Healthcare
2022-12-31,4,2022,31974000000,,MOH,Molina Healthcare
2023-12-31,4,2023,34072000000,102.46,MOH,Molina Healthcare
2019-12-31,4,2019,242155000000,,UNH,UnitedHealth Group
2020-12-31,4,2020,255639000000,,UNH,UnitedHealth Group
2021-12-31,4,2021,285273000000,,UNH,UnitedHealth Group
2022-12-31,4,2022,322132000000,,UNH,UnitedHealth Group
2023-12-31,4,2023,371622000000,53.46,UNH,UnitedHealth Group
