date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,1531296000,,ARE,Alexandria Real Estate Equities
2020-12-31,4,2020,1885637000,,ARE,Alexandria Real Estate Equities
2021-12-31,4,2021,2114150000,,ARE,Alexandria Real Estate Equities
2022-12-31,4,2022,2588962000,,ARE,Alexandria Real Estate Equities
2023-12-31,4,2023,2885699000,88.45,ARE,Alexandria Real Estate Equities
2019-12-31,4,2019,2960562000,,BXP,"BXP, Inc."
2020-12-31,4,2020,2765686000,,BXP,"BXP, Inc."
2021-12-31,4,2021,2888621000,,BXP,"BXP, Inc."
2022-12-31,4,2022,3108581000,,BXP,"BXP, Inc."
2023-12-31,4,2023,3273569000,10.57,BXP,"BXP, Inc."
