date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2020-06-30,2,2020,12468000000,,AMCR,Amcor
2021-06-30,2,2021,12861000000,,AMCR,Amcor
2022-06-30,2,2022,14544000000,,AMCR,Amcor
2023-06-30,2,2023,14694000000,,AMCR,Amcor
2024-06-30,2,2024,13639000000,9.39,AMCR,Amcor
2019-12-28,4,2019,7070100000,,AVY,Avery Dennison
2021-01-02,1,2021,6971500000,,AVY,Avery Dennison
2022-01-01,1,2022,8408300000,,AVY,Avery Dennison
2022-12-31,4,2022,9039300000,,AVY,Avery Dennison
2023-12-30,4,2023,8364299999,,AVY,Avery Dennison
2019-12-31,4,2019,22376000000,,IP,International Paper
2020-12-31,4,2020,20580000000,,IP,International Paper
2021-12-31,4,2021,19363000000,,IP,International Paper
2022-12-31,4,2022,21161000000,,IP,International Paper
2023-12-31,4,2023,18916000000,-15.46,IP,International Paper
2019-12-31,4,2019,6964300000,,PKG,Packaging Corporation of America
2020-12-31,4,2020,6658200000,,PKG,Packaging Corporation of America
2021-12-31,4,2021,7730300000,,PKG,Packaging Corporation of America
2022-12-31,4,2022,8478000000,,PKG,Packaging Corporation of America
2023-12-31,4,2023,7802400000,12.03,PKG,Packaging Corporation of America
2019-12-31,4,2019,10135316784,,SW,Smurfit WestRock
2020-12-31,4,2020,8530000000,,SW,Smurfit WestRock
2021-12-31,4,2021,10107000000,,SW,Smurfit WestRock
2022-12-31,4,2022,12815000000,,SW,Smurfit WestRock
2023-12-31,4,2023,12460067429,22.94,SW,Smurfit WestRock
