date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,6491000000,,CFG,Citizens Financial Group
2020-12-31,4,2020,6905000000,,CFG,Citizens Financial Group
2021-12-31,4,2021,6647000000,,CFG,Citizens Financial Group
2022-12-31,4,2022,8021000000,,CFG,Citizens Financial Group
2023-12-31,4,2023,24120000,-99.63,CFG,Citizens Financial Group
2019-12-31,4,2019,8203000000,,FITB,Fifth Third Bancorp
2020-12-31,4,2020,7491000000,,FITB,Fifth Third Bancorp
2021-12-31,4,2021,7799000000,,FITB,Fifth Third Bancorp
2022-12-31,4,2022,8295000000,,FITB,Fifth Third Bancorp
2023-12-31,4,2023,8195000000,-0.1,FITB,Fifth Third Bancorp
2019-12-31,4,2019,4667000000,,HBAN,Huntington Bancshares
2020-12-31,4,2020,4815000000,,HBAN,Huntington Bancshares
2021-12-31,4,2021,5991000000,,HBAN,Huntington Bancshares
2022-12-31,4,2022,7254000000,,HBAN,Huntington Bancshares
2023-12-31,4,2023,7360000000,57.7,HBAN,Huntington Bancshares
2019-12-31,4,2019,6182000000,,KEY,KeyCorp
2020-12-31,4,2020,6490000000,,KEY,KeyCorp
2021-12-31,4,2021,7038000000,,KEY,KeyCorp
2022-12-31,4,2022,7033000000,,KEY,KeyCorp
2023-12-31,4,2023,5894000000,-4.66,KEY,KeyCorp
2019-12-31,4,2019,6191943000,,MTB,M&T Bank
2020-12-31,4,2020,5954761000,,MTB,M&T Bank
2021-12-31,4,2021,5991772000,,MTB,M&T Bank
2022-12-31,4,2022,8042559000,,MTB,M&T Bank
2023-12-31,4,2023,8998000000,45.32,MTB,M&T Bank
2019-12-31,4,2019,5904000000,,RF,Regions Financial Corporation
2020-12-31,4,2020,6275000000,,RF,Regions Financial Corporation
2021-12-31,4,2021,6438000000,,RF,Regions Financial Corporation
2022-12-31,4,2022,7165000000,,RF,Regions Financial Corporation
2023-12-31,4,2023,7021000000,18.92,RF,Regions Financial Corporation
