date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,5586369000,,CMG,Chipotle Mexican Grill
2020-12-31,4,2020,5984634000,,CMG,Chipotle Mexican Grill
2021-12-31,4,2021,7547061000,,CMG,Chipotle Mexican Grill
2022-12-31,4,2022,8634652000,,CMG,Chipotle Mexican Grill
2023-12-31,4,2023,9871649000,76.71,CMG,Chipotle Mexican Grill
2020-05-31,2,2020,7806900000,,DRI,Darden Restaurants
2021-05-30,2,2021,7196100000,,DRI,Darden Restaurants
2022-05-29,2,2022,9630000000,,DRI,Darden Restaurants
2023-05-28,2,2023,10487800000,,DRI,Darden Restaurants
2024-05-26,2,2024,11390000000,45.9,DRI,Darden Restaurants
2019-12-29,4,2019,3618774000,,DPZ,Domino's
2021-01-03,1,2021,4117411000,,DPZ,Domino's
2022-01-02,1,2022,4357373000,,DPZ,Domino's
2023-01-01,1,2023,4537158000,,DPZ,Domino's
2023-12-31,4,2023,4479358000,,DPZ,Domino's
2019-12-31,4,2019,21076500000,,MCD,McDonald's
2020-12-31,4,2020,19207800000,,MCD,McDonald's
2021-12-31,4,2021,23222900000,,MCD,McDonald's
2022-12-31,4,2022,23182600000,,MCD,McDonald's
2023-12-31,4,2023,25493700000,20.96,MCD,McDonald's
2020-09-27,3,2020,23518000000,,SBUX,Starbucks
2021-10-03,4,2021,29060600000,,SBUX,Starbucks
2022-10-02,4,2022,32250300000,,SBUX,Starbucks
2023-10-01,4,2023,35975600000,,SBUX,Starbucks
2019-12-31,4,2019,5597000000,,YUM,Yum! Brands
2020-12-31,4,2020,5652000000,,YUM,Yum! Brands
2021-12-31,4,2021,6584000000,,YUM,Yum! Brands
2022-12-31,4,2022,6842000000,,YUM,Yum! Brands
2023-12-31,4,2023,7076000000,26.42,YUM,Yum! Brands
