date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2020-01-31,1,2020,481413000,,CRWD,CrowdStrike
2021-01-31,1,2021,874438000,,CRWD,CrowdStrike
2022-01-31,1,2022,1451594000,,CRWD,CrowdStrike
2023-01-31,1,2023,2241236000,,CRWD,CrowdStrike
2024-01-31,1,2024,3055555000,534.71,CRWD,CrowdStrike
2019-12-31,4,2019,2156200000,,FTNT,Fortinet
2020-12-31,4,2020,2594400000,,FTNT,Fortinet
2021-12-31,4,2021,3342200000,,FTNT,Fortinet
2022-12-31,4,2022,4417400000,,FTNT,Fortinet
2023-12-31,4,2023,5304800000,146.03,FTNT,Fortinet
2020-03-31,1,2020,2490000000,,GEN,Gen Digital
2021-03-31,1,2021,2551000000,,GEN,Gen Digital
2022-03-31,1,2022,2796000000,,GEN,Gen Digital
2023-03-31,1,2023,3338000000,,GEN,Gen Digital
2024-03-29,1,2024,3812000000,53.09,GEN,Gen Digital
2020-06-30,2,2020,143015000000,,MSFT,Microsoft
2021-06-30,2,2021,168088000000,,MSFT,Microsoft
2022-06-30,2,2022,198270000000,,MSFT,Microsoft
2023-06-30,2,2023,211915000000,,MSFT,Microsoft
2024-06-30,2,2024,245122000000,71.4,MSFT,Microsoft
2020-07-31,3,2020,3408400000,,PANW,Palo Alto Networks
2021-07-31,3,2021,4256100000,,PANW,Palo Alto Networks
2022-07-31,3,2022,5501500000,,PANW,Palo Alto Networks
2023-07-31,3,2023,6892700000,,PANW,Palo Alto Networks
2019-12-31,4,2019,3460437000,,NOW,ServiceNow
2020-12-31,4,2020,4519484000,,NOW,ServiceNow
2021-12-31,4,2021,5896000000,,NOW,ServiceNow
2022-12-31,4,2022,7245000000,,NOW,ServiceNow
2023-12-31,4,2023,8971000000,159.24,NOW,ServiceNow
